Timestamp,IsValid,CoordinateSystem,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW,EulerX,EulerY,EulerZ,VelocityValid,VelocityX,VelocityY,VelocityZ,AngularVelocityValid,AngularVelocityX,AngularVelocityY,AngularVelocityZ
0.000000,True,Device,0.001893,1.132340,-0.005607,-0.072632,-0.011490,-0.006048,0.997274,351.662300,358.723700,359.398100,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.011507,True,Device,0.001832,1.132337,-0.005607,-0.072551,-0.011461,-0.006095,0.997280,351.671600,358.727400,359.392300,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.030756,True,Device,0.001745,1.132293,-0.005636,-0.072688,-0.011474,-0.006230,0.997269,351.655700,358.727000,359.377100,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.041882,True,Device,0.001663,1.132313,-0.005641,-0.072559,-0.011339,-0.006228,0.997280,351.670600,358.742600,359.375900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.052927,True,Device,0.001638,1.132298,-0.005647,-0.072874,-0.011402,-0.006270,0.997256,351.634200,358.735800,359.371900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.064335,True,Device,0.001561,1.132322,-0.005658,-0.072957,-0.011343,-0.006205,0.997251,351.624900,358.742200,359.379100,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.075089,True,Device,0.001504,1.132332,-0.005676,-0.073085,-0.011457,-0.006065,0.997241,351.610200,358.727800,359.396400,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.086197,True,Device,0.001423,1.132342,-0.005705,-0.073149,-0.011441,-0.005874,0.997238,351.603200,358.728100,359.418400,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.097351,True,Device,0.001405,1.132350,-0.005732,-0.073199,-0.011547,-0.005750,0.997234,351.597500,358.714800,359.433700,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.108534,True,Device,0.001321,1.132365,-0.005770,-0.073117,-0.011680,-0.005506,0.997240,351.607200,358.697300,359.462900,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.119568,True,Device,0.001277,1.132375,-0.005816,-0.073116,-0.011818,-0.005426,0.997239,351.607300,358.680700,359.473300,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.132093,True,Device,0.001199,1.132389,-0.005858,-0.073166,-0.011875,-0.005404,0.997235,351.601600,358.674000,359.476400,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.141804,True,Device,0.001121,1.132410,-0.005899,-0.073260,-0.011969,-0.005344,0.997227,351.590800,358.662700,359.484300,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.152891,True,Device,0.001036,1.132451,-0.005933,-0.073316,-0.011997,-0.005349,0.997222,351.584400,358.659400,359.484000,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.164171,True,Device,0.000966,1.132474,-0.005981,-0.073433,-0.012062,-0.005123,0.997214,351.571200,358.650100,359.510800,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
0.175028,True,Device,0.000873,1.132510,-0.006025,-0.073539,-0.012248,-0.005000,0.997205,351.559100,358.627600,359.526700,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000
