Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.000000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000,0,True,Device,-0.040335,1.039258,-0.014206,-0.082779,0.002237,0.011741,0.996496,350.501000,0.146051,1.337916,,,,,,,0.000000,0.000000,0.000000
0.011261,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000,,True,Device,-0.040317,1.039191,-0.014131,-0.082453,0.002252,0.011798,0.996523,350.538400,0.147686,1.344427,,,,,,,,,
0.021545,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000,,True,Device,-0.040337,1.039165,-0.014084,-0.082287,0.002286,0.011845,0.996536,350.557500,0.151409,1.349489,,,,,,,,,
0.032745,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000,,True,Device,-0.040320,1.039150,-0.014053,-0.082227,0.002230,0.011864,0.996541,350.564400,0.144798,1.352239,,,,,,,,,
0.043823,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000,,True,Device,-0.040338,1.039105,-0.013989,-0.082023,0.002219,0.011926,0.996557,350.587900,0.143243,1.359431,,,,,,,,,
0.054810,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,True,-0.009485,1.042258,-0.003936,0.048503,-0.025007,-0.009965,-0.998460,False,0.000,False,0.000000,0.000000,True,2.844,True,0.498709,0.551025,,True,Device,-0.040358,1.039084,-0.013933,-0.081814,0.002200,0.011888,0.996574,350.611900,0.141653,1.355299,,,,,,,,,
0.065918,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,True,-0.009522,1.042232,-0.003866,0.048254,-0.025011,-0.010047,-0.998471,False,0.000,False,0.000000,0.000000,True,2.844,True,0.498709,0.551025,,True,Device,-0.040395,1.039058,-0.013864,-0.081577,0.002208,0.011965,0.996593,350.639200,0.142255,1.364076,,,,,,,,,
0.076965,True,-0.072536,1.031405,-0.001766,-0.006726,-0.019652,-0.010402,-0.999730,True,-0.009541,1.042209,-0.003804,0.048099,-0.024926,-0.010073,-0.998481,True,2.380,True,0.485372,0.524890,True,2.844,True,0.498709,0.551025,,True,Device,-0.040412,1.039036,-0.013807,-0.081433,0.002131,0.011985,0.996604,350.655800,0.133253,1.367053,,,,,,,,,
0.088074,True,-0.072568,1.031376,-0.001702,-0.006937,-0.019699,-0.010404,-0.999728,True,-0.009573,1.042180,-0.003741,0.047878,-0.024961,-0.010080,-0.998490,True,2.380,True,0.485372,0.524890,True,2.844,True,0.498709,0.551025,,True,Device,-0.040446,1.039011,-0.013743,-0.081226,0.002175,0.011987,0.996621,350.679500,0.138599,1.366938,,,,,,,,,
0.099182,True,-0.072590,1.031332,-0.001657,-0.007082,-0.019597,-0.010571,-0.999727,True,-0.009598,1.042158,-0.003680,0.052206,-0.041975,-0.008848,-0.997715,True,2.380,True,0.485372,0.524890,True,2.844,True,0.499536,0.554666,,True,Device,-0.040468,1.038982,-0.013689,-0.081085,0.002054,0.012142,0.996631,350.696000,0.123406,1.385965,,,,,,,,,
0.110382,True,-0.072636,1.031300,-0.001583,-0.010633,-0.025606,-0.010164,-0.999564,True,-0.009646,1.042137,-0.003598,0.051940,-0.041944,-0.008944,-0.997729,True,2.380,True,0.485169,0.525086,True,2.844,True,0.499536,0.554666,,True,Device,-0.040514,1.038961,-0.013610,-0.080828,0.002025,0.012226,0.996651,350.725600,0.119566,1.395984,,,,,,,,,
0.121491,True,-0.072672,1.031256,-0.001528,-0.010787,-0.025550,-0.010262,-0.999563,True,-0.009683,1.042105,-0.003531,0.051774,-0.041869,-0.009041,-0.997740,True,2.380,True,0.485169,0.525086,True,2.844,True,0.499536,0.554666,,True,Device,-0.040550,1.038927,-0.013548,-0.080676,0.001954,0.012315,0.996662,350.743100,0.110806,1.406908,,,,,,,,,
0.132599,True,-0.072685,1.031215,-0.001464,-0.010947,-0.025479,-0.010368,-0.999562,True,-0.009699,1.042078,-0.003454,0.037122,-0.035267,-0.009656,-0.998642,True,2.380,True,0.485169,0.525086,True,2.844,True,0.499118,0.553024,,True,Device,-0.040563,1.038896,-0.013477,-0.080524,0.001865,0.012411,0.996674,350.760700,0.099747,1.418848,,,,,,,,,
