Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
0.895345,9.170000,0.172373,3.710000,-0.696741,2.428934,4.524880
0.906456,9.170000,0.172373,3.710000,-0.702887,2.439255,4.459071
0.917567,9.170000,0.172373,3.710000,-0.708997,2.449482,4.393555
0.928678,9.170000,0.172373,3.710000,-0.714758,2.458782,4.330935
0.939790,9.170000,0.172373,3.710000,-0.720519,2.468081,4.268315
0.950901,9.170000,0.172373,3.710000,-0.726280,2.477381,4.205696
0.962012,9.170000,0.172373,3.710000,-0.732041,2.486681,4.143076
0.973123,9.170000,0.172373,3.710000,-0.737957,2.495913,4.077600
0.984234,9.170000,0.172373,3.710000,-0.744055,2.505067,4.008782
0.995345,9.170000,0.172373,3.710000,-0.750153,2.514221,3.939963
1.006456,9.170000,0.172373,3.710000,-0.756251,2.523375,3.871144
1.017568,9.170000,0.172373,3.710000,-0.762349,2.532529,3.802325
1.028679,9.170000,0.172373,3.710000,-0.768208,2.538578,3.735737
1.039790,9.170000,0.172373,3.710000,-0.774051,2.544403,3.669310
1.050901,9.170000,0.172373,3.710000,-0.779893,2.550228,3.602883
1.062012,9.170000,0.172373,3.710000,-0.785735,2.556053,3.536456
1.073123,9.170000,0.172373,3.710000,-0.791510,2.560902,3.470058
1.084234,9.170000,0.172373,3.710000,-0.797082,2.562817,3.403749
1.095345,9.170000,0.172373,3.710000,-0.802654,2.564732,3.337439
1.106457,9.170000,0.172373,3.710000,-0.808226,2.566647,3.271129
1.117568,9.170000,0.172373,3.710000,-0.813798,2.568562,3.204820
1.128679,9.170000,0.172373,3.710000,-0.819055,2.567283,3.138441
1.139790,9.170000,0.172373,3.710000,-0.824194,2.564795,3.072035
1.150901,9.170000,0.172373,3.710000,-0.829333,2.562307,3.005630
1.162012,9.170000,0.172373,3.710000,-0.834471,2.559819,2.939225
1.173123,9.170000,0.172373,3.710000,-0.839326,2.556489,2.872887
1.184235,9.170000,0.172373,3.710000,-0.842858,2.549226,2.806859
1.195346,9.170000,0.172373,3.710000,-0.846389,2.541962,2.740832
1.206457,9.170000,0.172373,3.710000,-0.849920,2.534699,2.674805
1.217568,9.170000,0.172373,3.710000,-0.853451,2.527436,2.608778
1.228679,9.170000,0.172373,3.710000,-0.856154,2.518041,2.545762
1.239790,9.170000,0.172373,3.710000,-0.858243,2.507066,2.484977
1.250901,9.170000,0.172373,3.710000,-0.860333,2.496092,2.424192
1.262013,9.170000,0.172373,3.710000,-0.862422,2.485118,2.363408
1.273124,9.170000,0.172373,3.710000,-0.864456,2.473988,2.302400
1.284235,9.170000,0.172373,3.710000,-0.864536,2.457374,2.233521
1.295346,9.170000,0.172373,3.710000,-0.864615,2.440759,2.164642
