Timestamp,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY
0.000,True,3.084,True,0.458992,0.557120,True,3.057,True,0.483897,0.592979
0.017,True,3.154,True,0.458908,0.557016,True,3.248,True,0.483784,0.593086
0.033,True,3.168,True,0.458682,0.557076,True,3.331,True,0.483770,0.593227
0.043,True,3.166,True,0.458682,0.557076,True,3.389,True,0.483041,0.592767
0.054,True,3.174,True,0.458964,0.557369,True,3.374,True,0.484143,0.592751
0.066,True,3.325,True,0.458794,0.557012,True,3.337,True,0.484143,0.592751
0.077,True,3.451,True,0.458432,0.556995,True,3.330,True,0.484274,0.593095
0.088,True,3.552,True,0.458432,0.556995,True,3.324,True,0.484274,0.593095
0.099,True,3.671,True,0.458946,0.557297,True,3.277,True,0.483812,0.592873
0.110,True,3.707,True,0.458756,0.557270,True,3.283,True,0.484888,0.592730
0.121,True,3.717,True,0.458756,0.557270,True,3.288,True,0.484888,0.592730
0.132,True,3.738,True,0.458826,0.557298,True,3.282,True,0.484649,0.592731
0.144,True,3.749,True,0.458826,0.557298,True,3.279,True,0.484616,0.592751
0.155,True,3.757,True,0.458500,0.557002,True,3.275,True,0.484616,0.592751
0.166,True,3.750,True,0.458273,0.556876,True,3.252,True,0.484236,0.592786
0.177,True,3.740,True,0.458273,0.556876,True,3.212,True,0.484930,0.593412
0.188,True,3.744,True,0.458266,0.556869,True,3.179,True,0.484930,0.593412
0.199,True,3.758,True,0.458148,0.556768,True,3.270,True,0.483690,0.593426
0.210,True,3.768,True,0.458148,0.556768,True,3.258,True,0.485421,0.593238
0.221,True,3.758,True,0.457958,0.556770,True,3.192,True,0.486192,0.593426
0.232,True,3.760,True,0.458015,0.556878,True,3.140,True,0.486192,0.593426
0.243,True,3.760,True,0.458015,0.556878,True,3.140,True,0.486192,0.593426
0.254,True,3.760,True,0.458015,0.556878,True,3.140,True,0.486192,0.593426
0.265,True,3.755,True,0.458203,0.556827,True,3.122,True,0.487124,0.593268
0.277,True,3.763,True,0.458644,0.556616,True,3.200,True,0.487124,0.593268
0.288,True,3.763,True,0.458644,0.556616,True,3.200,True,0.487124,0.593268
0.299,True,3.769,True,0.458644,0.556616,True,3.263,True,0.487124,0.593268
0.310,True,3.831,True,0.469648,0.556330,True,3.538,True,0.492629,0.583617
0.321,True,3.850,True,0.494115,0.553414,True,3.797,True,0.497353,0.570950
0.332,True,3.862,True,0.494115,0.553414,True,4.008,True,0.497353,0.570950
0.343,True,3.802,True,0.515657,0.546678,True,4.160,True,0.497353,0.570950
0.354,True,3.823,True,0.529077,0.539157,True,4.319,True,0.503013,0.550897
0.366,True,3.820,True,0.539873,0.532705,True,4.324,True,0.503013,0.550897
0.377,True,3.821,True,0.550007,0.527572,True,4.293,True,0.508147,0.543051
