Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW
0.000,True,-0.030010,1.098718,-0.000961,0.003827,0.049038,0.005477,-0.998775,True,0.034984,1.097999,-0.001495,0.003120,0.006093,0.005510,-0.999961
0.011,True,-0.030037,1.098707,-0.000977,0.003658,0.049109,0.005388,-0.998772,True,0.034957,1.098001,-0.001499,0.002815,0.003551,0.005414,-0.999975
0.021,True,-0.030066,1.098681,-0.000991,0.003604,0.049166,0.005295,-0.998770,True,0.034928,1.097988,-0.001505,0.002756,0.003615,0.005318,-0.999976
0.032,True,-0.030039,1.098662,-0.000989,0.006905,0.047844,0.005127,-0.998818,True,0.034955,1.097991,-0.001484,0.002602,0.003757,0.005156,-0.999976
0.043,True,-0.030055,1.098661,-0.000996,0.007021,0.047815,0.005080,-0.998819,True,0.034939,1.097995,-0.001492,0.003863,0.001696,0.005108,-0.999978
0.055,True,-0.030061,1.098681,-0.001003,0.007044,0.047816,0.005137,-0.998818,True,0.034934,1.098007,-0.001497,0.003869,0.001706,0.005166,-0.999978
0.066,True,-0.030024,1.098665,-0.001008,0.011734,0.045458,0.005179,-0.998884,True,0.034971,1.097983,-0.001501,0.003966,0.001714,0.005228,-0.999977
0.077,True,-0.030013,1.098675,-0.001014,0.011757,0.045484,0.005299,-0.998882,True,0.034981,1.097977,-0.001500,0.007117,0.000026,0.005336,-0.999961
0.093,True,-0.029994,1.098666,-0.001007,0.014519,0.043639,0.005457,-0.998927,True,0.035000,1.097947,-0.001496,0.007037,0.000000,0.005500,-0.999960
0.104,True,-0.029964,1.098630,-0.001009,0.014376,0.043662,0.005548,-0.998928,True,0.035030,1.097901,-0.001493,0.006880,0.000031,0.005584,-0.999961
0.115,True,-0.029950,1.098613,-0.001006,0.014281,0.043581,0.005711,-0.998932,True,0.035044,1.097863,-0.001498,0.008168,-0.002110,0.005737,-0.999948
0.126,True,-0.029923,1.098570,-0.000989,0.016734,0.042688,0.005751,-0.998932,True,0.035070,1.097814,-0.001491,0.008022,-0.002192,0.005781,-0.999949
0.138,True,-0.029899,1.098554,-0.000970,0.016588,0.042574,0.005857,-0.998939,True,0.035095,1.097785,-0.001485,0.007862,-0.002299,0.005880,-0.999949
0.149,True,-0.029870,1.098548,-0.000954,0.016447,0.042490,0.005950,-0.998944,True,0.035123,1.097768,-0.001479,0.009794,-0.003930,0.005957,-0.999927
0.160,True,-0.029832,1.098537,-0.000918,0.018652,0.041210,0.005929,-0.998959,True,0.035161,1.097759,-0.001463,0.009748,-0.004098,0.005944,-0.999926
0.172,True,-0.029777,1.098548,-0.000881,0.018688,0.040999,0.006066,-0.998966,True,0.035216,1.097751,-0.001451,0.009760,-0.004297,0.006084,-0.999925
0.182,True,-0.029757,1.098538,-0.000842,0.018676,0.040831,0.005963,-0.998974,True,0.035235,1.097755,-0.001430,0.010904,-0.006318,0.005973,-0.999903
0.193,True,-0.029730,1.098521,-0.000806,0.019484,0.038904,0.005928,-0.999035,True,0.035263,1.097742,-0.001415,0.010827,-0.006487,0.005941,-0.999903
0.204,True,-0.029702,1.098487,-0.000768,0.019403,0.038748,0.005874,-0.999043,True,0.035291,1.097715,-0.001395,0.010733,-0.006634,0.005884,-0.999903
0.215,True,-0.029676,1.098460,-0.000728,0.019357,0.038629,0.005809,-0.999049,True,0.035316,1.097697,-0.001370,0.010178,-0.008458,0.005818,-0.999896
0.226,True,-0.029660,1.098460,-0.000672,0.019965,0.037637,0.005674,-0.999076,True,0.035333,1.097714,-0.001329,0.010084,-0.008587,0.005683,-0.999896
0.237,True,-0.029648,1.098448,-0.000622,0.019978,0.037521,0.005571,-0.999081,True,0.035345,1.097716,-0.001292,0.010085,-0.008694,0.005580,-0.999896
0.249,True,-0.029643,1.098426,-0.000566,0.019957,0.037436,0.005495,-0.999085,True,0.035349,1.097704,-0.001243,0.009952,-0.009834,0.005502,-0.999887
0.260,True,-0.029644,1.098401,-0.000523,0.020442,0.036996,0.005523,-0.999091,True,0.035348,1.097674,-0.001212,0.009910,-0.009929,0.005531,-0.999886
0.271,True,-0.029648,1.098372,-0.000452,0.020205,0.036941,0.005595,-0.999098,True,0.035344,1.097637,-0.001146,0.009655,-0.009974,0.005591,-0.999888
0.282,True,-0.029646,1.098300,-0.000372,0.019921,0.036904,0.005623,-0.999104,True,0.035346,1.097564,-0.001068,0.010227,-0.011097,0.005599,-0.999871
0.293,True,-0.029665,1.098241,-0.000287,0.020638,0.037112,0.005646,-0.999082,True,0.035327,1.097503,-0.000994,0.009977,-0.011187,0.005614,-0.999872
0.304,True,-0.029675,1.098142,-0.000187,0.020391,0.037147,0.005496,-0.999087,True,0.035317,1.097425,-0.000888,0.009721,-0.011144,0.005451,-0.999876
0.315,True,-0.029696,1.098023,-0.000094,0.020262,0.037201,0.005381,-0.999088,True,0.035296,1.097322,-0.000786,0.010445,-0.011135,0.005324,-0.999869
0.327,True,-0.029721,1.097958,0.000003,0.020686,0.035615,0.005503,-0.999136,True,0.035271,1.097242,-0.000683,0.010249,-0.011097,0.005443,-0.999871
0.338,True,-0.029750,1.097885,0.000125,0.020514,0.035634,0.005585,-0.999139,True,0.035243,1.097159,-0.000556,0.010062,-0.011070,0.005515,-0.999873
0.349,True,-0.029773,1.097819,0.000254,0.020199,0.035642,0.005614,-0.999145,True,0.035220,1.097091,-0.000423,0.010334,-0.011373,0.005524,-0.999867
0.360,True,-0.029796,1.097727,0.000339,0.020130,0.035481,0.005723,-0.999151,True,0.035196,1.096987,-0.000339,0.009938,-0.011387,0.005616,-0.999870
0.371,True,-0.029818,1.097638,0.000449,0.019644,0.035480,0.005932,-0.999160,True,0.035174,1.096874,-0.000227,0.009430,-0.011379,0.005801,-0.999874
0.382,True,-0.029844,1.097534,0.000553,0.019087,0.035476,0.006147,-0.999169,True,0.035148,1.096746,-0.000121,0.009195,-0.012058,0.005983,-0.999867
0.393,True,-0.029879,1.097450,0.000661,0.019101,0.035511,0.006154,-0.999168,True,0.035112,1.096664,-0.000022,0.008615,-0.012139,0.005965,-0.999872
0.404,True,-0.029901,1.097389,0.000757,0.018772,0.035624,0.006111,-0.999170,True,0.035091,1.096611,0.000091,0.008892,-0.012500,0.005898,-0.999865
0.415,True,-0.029953,1.097341,0.000856,0.018585,0.035689,0.005963,-0.999172,True,0.035040,1.096584,0.000200,0.008702,-0.012430,0.005740,-0.999869
0.426,True,-0.030011,1.097311,0.000955,0.018503,0.035780,0.005747,-0.999172,True,0.034982,1.096582,0.000312,0.008619,-0.012334,0.005518,-0.999872
0.438,True,-0.030052,1.097259,0.001025,0.017865,0.035659,0.005568,-0.999189,True,0.034941,1.096554,0.000395,0.008540,-0.012235,0.005333,-0.999875
