Timestamp,PositionX,PositionY,PositionZ
0.000000,-0.870000,2.353000,3.830000
0.055811,-0.583682,2.424329,3.721254
0.099544,-0.275273,2.481759,3.604118
0.149779,-0.030967,2.505409,3.511329
0.205454,0.250785,2.502121,3.404317
0.255119,0.561259,2.466220,3.286397
0.305222,0.836197,2.418237,3.181973
0.352102,0.836197,2.418237,3.181973
0.402662,0.836197,2.418237,3.181973
0.457643,0.836197,2.418237,3.181973
0.503901,0.836197,2.418237,3.181973
0.558569,0.582004,2.482334,3.273134
0.608668,0.278508,2.536049,3.385348
0.659029,-0.008526,2.545341,3.474138
0.704647,-0.302024,2.510795,3.537137
0.755299,-0.566236,2.448564,3.572304
0.810165,-0.855101,2.363999,3.614325
0.856678,-0.855101,2.363999,3.614325
0.911297,-0.855101,2.363999,3.614325
0.961920,-0.855101,2.363999,3.614325
1.012216,-0.855101,2.363999,3.614325
1.057520,-0.593576,2.424852,3.708873
1.107835,-0.355780,2.473641,3.778974
1.162728,-0.081899,2.513947,3.825645
1.208062,0.225475,2.531365,3.868878
1.258423,0.467828,2.516869,3.883135
1.313471,0.700493,2.467069,3.882550
1.359468,0.963366,2.383439,3.863178
1.409251,1.130664,2.316587,3.860512
1.464610,1.130664,2.316587,3.860512
1.509779,1.130664,2.316587,3.860512
1.560704,1.130664,2.316587,3.860512
1.611607,1.130664,2.316587,3.860512
1.661367,0.957353,2.364556,3.667875
1.714855,0.778357,2.394423,3.465269
1.771695,0.575240,2.390764,3.239460
1.813419,0.373811,2.326563,2.991838
1.863762,0.219815,2.247788,2.817479
1.918979,0.048850,2.142878,2.591645
1.963775,-0.045505,2.106566,2.529380
2.013865,-0.045505,2.106566,2.529380
2.068957,-0.045505,2.106566,2.529380
2.114945,-0.045505,2.106566,2.529380
2.164873,-0.045505,2.106566,2.529380
2.214897,-0.045505,2.106566,2.529380
2.264862,0.086322,2.232904,2.557436
2.315686,0.290129,2.306595,2.544172
2.370664,0.574912,2.220873,2.476795
2.416641,0.584458,2.198926,2.386503
2.467137,0.584458,2.198926,2.386503
2.522981,0.584458,2.198926,2.386503
2.567971,0.584458,2.198926,2.386503
2.618474,0.584458,2.198926,2.386503
2.669737,0.584458,2.198926,2.386503
2.720141,0.744557,2.269425,2.501109
2.770265,0.906580,2.300475,2.653141
2.825512,1.121483,2.223257,2.848850
2.870444,1.268440,2.123008,2.943276
2.920668,1.268440,2.123008,2.943276
2.975745,1.268440,2.123008,2.943276
3.022178,1.268440,2.123008,2.943276
3.072567,1.268440,2.123008,2.943276
3.122600,1.268440,2.123008,2.943276
3.173265,1.005035,2.206544,2.868484
3.223740,0.730128,2.285619,2.803969
3.278618,0.443824,2.351673,2.765623
3.324853,0.134799,2.399664,2.755230
3.376258,-0.112563,2.414665,2.782520
3.431139,-0.348570,2.403112,2.863931
3.477000,-0.598531,2.369744,2.968041
3.527025,-0.727398,2.348637,3.051209
3.582146,-0.727398,2.348637,3.051209
3.627499,-0.727398,2.348637,3.051209
3.677583,-0.727398,2.348637,3.051209
3.728455,-0.727398,2.348637,3.051209
3.779079,-0.465550,2.399757,3.026239
3.829261,-0.183292,2.441004,2.994123
3.885230,0.112012,2.460038,2.954720
3.930505,0.439307,2.441268,2.902184
3.980595,0.683080,2.394557,2.873219
4.035867,0.914839,2.323852,2.807275
4.081906,0.976957,2.279375,2.720412
4.131895,0.976957,2.279375,2.720412
4.187743,0.976957,2.279375,2.720412
4.234070,0.976957,2.279375,2.720412
4.284350,0.976957,2.279375,2.720412
4.334667,0.976957,2.279375,2.720412
4.385312,1.127980,2.362878,2.924531
4.435741,1.287107,2.429913,3.131617
4.490694,1.456264,2.461509,3.336835
4.536890,1.665231,2.427961,3.529689
4.587417,1.841419,2.357040,3.664412
4.641880,1.925417,2.300114,3.735165
4.688296,1.925417,2.300114,3.735165
4.739025,1.925417,2.300114,3.735165
4.794877,1.925417,2.300114,3.735165
4.841330,1.925417,2.300114,3.735165
4.891757,1.753146,2.347148,3.867238
4.947658,1.560567,2.374488,4.018167
4.993742,1.293719,2.343565,4.200198
5.044586,1.070062,2.269725,4.345044
5.099602,0.844442,2.162740,4.520307
5.144890,0.719916,2.104624,4.588079
5.194893,0.719916,2.104624,4.588079
5.250362,0.719916,2.104624,4.588079
5.296261,0.719916,2.104624,4.588079
5.350783,0.719916,2.104624,4.588079
5.397442,0.719916,2.104624,4.588079
5.448176,0.654590,2.181778,4.347111
5.499281,0.581378,2.253540,4.085829
5.549188,0.484756,2.303038,3.817355
5.605062,0.390594,2.317244,3.556418
5.650327,0.308517,2.283207,3.286723
5.700420,0.253757,2.224402,3.126758
5.756599,0.351988,2.224648,2.842704
5.802027,0.466202,2.145256,2.708530
5.852012,0.466202,2.145256,2.708530
5.907202,0.466202,2.145256,2.708530
5.953046,0.466202,2.145256,2.708530
6.003425,0.466202,2.145256,2.708530
6.054030,0.466202,2.145256,2.708530
6.104420,0.518336,2.239554,2.653718
6.154686,0.601260,2.255381,2.628213
6.209274,0.645846,2.155168,2.705039
6.255392,0.645846,2.155168,2.705039
6.305816,0.645846,2.155168,2.705039
6.360451,0.645846,2.155168,2.705039
6.406407,0.645846,2.155168,2.705039
6.456803,0.780274,2.279264,2.710323
6.512387,0.981636,2.381254,2.638521
6.558179,1.241770,2.365115,2.430454
6.608753,1.351914,2.343812,2.209237
6.663616,1.351914,2.343812,2.209237
6.710002,1.351914,2.343812,2.209237
6.760053,1.351914,2.343812,2.209237
6.810219,1.351914,2.343812,2.209237
6.861666,1.255580,2.391691,2.455950
6.912857,1.184844,2.431934,2.718032
6.968043,1.122732,2.450684,2.999126
7.014161,1.044804,2.433846,3.320501
7.064340,0.972207,2.387264,3.581450
7.119640,0.881671,2.316711,3.806225
7.165690,0.755386,2.265884,3.943874
7.215786,0.755386,2.265884,3.943874
7.270763,0.755386,2.265884,3.943874
7.316765,0.755386,2.265884,3.943874
7.367168,0.755386,2.265884,3.943874
7.418529,0.755386,2.265884,3.943874
7.469144,0.770683,2.346160,3.671237
7.520122,0.749295,2.412671,3.383528
7.576195,0.680615,2.456087,3.088651
7.622889,0.590116,2.469240,2.764881
7.673507,0.484025,2.455521,2.505944
7.728621,0.354100,2.416692,2.234191
7.775021,0.218743,2.358886,1.938062
7.825971,0.088288,2.311130,1.696806
7.880280,0.088288,2.311130,1.696806
7.926175,0.088288,2.311130,1.696806
7.976315,0.088288,2.311130,1.696806
8.026473,0.088288,2.311130,1.696806
8.077233,0.308597,2.358162,1.780751
8.127871,0.555589,2.382744,1.907820
8.182899,0.819257,2.368696,2.058112
8.229351,1.097149,2.313354,2.227612
8.280150,1.322888,2.244452,2.375843
8.334801,1.559831,2.150216,2.542815
8.380846,1.559831,2.150216,2.542815
8.431597,1.559831,2.150216,2.542815
8.487119,1.559831,2.150216,2.542815
8.532462,1.559831,2.150216,2.542815
8.582815,1.309266,2.202844,2.620300
8.637811,1.023516,2.257748,2.701593
8.683963,0.705535,2.309283,2.773100
8.734400,0.435002,2.343522,2.821279
8.789692,0.134883,2.367356,2.851965
8.835968,-0.196391,2.375625,2.867730
8.887112,-0.473840,2.367437,2.860959
8.942120,-0.778960,2.338933,2.845031
8.987679,-1.105021,2.290342,2.829091
9.038171,-1.372233,2.241912,2.797862
9.096947,-1.660501,2.178221,2.729835
9.138999,-1.935223,2.115437,2.521457
9.189524,-1.935223,2.115437,2.521457
9.244039,-1.935223,2.115437,2.521457
9.289402,-1.935223,2.115437,2.521457
9.339890,-1.935223,2.115437,2.521457
9.391167,-1.935223,2.115437,2.521457
9.441167,-1.754412,2.221704,2.544276
9.491490,-1.525186,2.291882,2.571218
9.546327,-1.224493,2.264467,2.571565
9.591591,-1.001706,2.212800,2.490991
9.641660,-1.001706,2.212800,2.490991
9.697772,-1.001706,2.212800,2.490991
9.742761,-1.001706,2.212800,2.490991
9.793810,-1.001706,2.212800,2.490991
9.843717,-1.001706,2.212800,2.490991
9.894315,-0.839533,2.288800,2.715435
9.945004,-0.652213,2.359227,2.930015
9.999363,-0.584011,2.405789,3.222729
10.045440,-0.420342,2.447287,3.501770
10.095120,-0.272630,2.465472,3.734725
10.150270,-0.125476,2.464836,3.993999
10.196270,0.046277,2.439152,4.275617
10.246210,0.168622,2.398443,4.519702
10.302280,0.243199,2.339677,4.769852
10.347820,0.207004,2.313350,4.763587
10.397990,0.207004,2.313350,4.763587
10.453250,0.207004,2.313350,4.763587
10.499010,0.207004,2.313350,4.763587
10.549260,0.207004,2.313350,4.763587
10.600530,0.207004,2.313350,4.763587
10.651160,-0.022095,2.377540,4.593657
10.701290,-0.257856,2.435782,4.462105
10.756030,-0.517138,2.480842,4.367390
10.802000,-0.824552,2.505877,4.283394
10.852680,-1.092282,2.501459,4.220094
10.908280,-1.382885,2.470279,4.143277
10.954850,-1.681455,2.413545,4.032551
11.004950,-1.910023,2.357239,3.908158
11.060440,-1.878541,2.349862,3.844887
11.106180,-1.878541,2.349862,3.844887
11.156240,-1.878541,2.349862,3.844887
11.211090,-1.878541,2.349862,3.844887
11.257060,-1.878541,2.349862,3.844887
11.307490,-1.679545,2.391338,3.683897
11.362580,-1.447214,2.431821,3.494315
11.407910,-1.200745,2.459169,3.275822
11.458120,-1.007901,2.460242,3.084010
11.513220,-0.796382,2.427244,2.872032
11.559120,-0.554716,2.349795,2.660182
11.609720,-0.369931,2.256490,2.478554
11.665250,-0.108658,2.198757,2.621995
11.710580,-0.108658,2.198757,2.621995
11.761520,-0.108658,2.198757,2.621995
11.817240,-0.108658,2.198757,2.621995
11.862560,-0.108658,2.198757,2.621995
