Timestamp,PositionX,PositionY,PositionZ,RotationX,RotationY,RotationZ,RotationW
0.000000,9.170000,0.000000,3.710000,0.000000,-0.707107,0.000000,0.707107
0.050235,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.095273,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.142492,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.192664,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.243380,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.293900,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.344454,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.395175,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.446915,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.498376,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.547327,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.598236,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.648903,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.698878,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.749052,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.799691,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.849220,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.899140,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.949275,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
0.999300,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.050153,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.099896,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.151183,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.202102,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.253896,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.303754,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.354533,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.405360,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.455588,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.506171,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.557214,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.609569,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
1.657516,9.170000,0.172373,3.710000,0.000000,-0.707107,0.000000,0.707107
