Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ
0.041300,4.990000,0.978000,4.450000,,,,,,
0.052400,,,,-0.673314,2.403551,3.755297,-1.000958,2.387432,1.105976
0.085700,4.990000,0.978000,4.450000,,,,,,
0.107800,,,,-0.471370,2.452223,3.678597,-0.981734,2.420972,1.324013
0.130000,4.990000,0.978000,4.450000,,,,,,
0.163300,,,,-0.267160,2.494759,3.601037,-0.962398,2.453501,1.543332
0.174400,4.990000,0.978000,4.450000,,,,,,
0.208500,4.990000,0.978000,4.450000,,,,,,
0.219000,,,,-0.058958,2.525823,3.521960,-0.942835,2.484684,1.765208
0.252400,4.990000,0.978000,4.450000,,,,,,
0.274500,,,,0.145780,2.539992,3.444199,-0.923712,2.512589,1.982107
0.296700,4.990000,0.978000,4.450000,,,,,,
0.330000,,,,0.353991,2.535452,3.365119,-0.904263,2.537436,2.202696
0.341100,4.990000,0.978000,4.450000,,,,,,
0.377500,4.990000,0.978000,4.450000,,,,,,
0.388500,,,,0.570993,2.510618,3.282700,-0.883841,2.558753,2.434333
0.411300,4.990000,0.978000,4.450000,,,,,,
0.445000,4.990000,0.978000,4.450000,0.778050,2.470284,3.204058,-0.864111,2.573972,2.658112
0.479500,4.990000,0.978000,4.450000,,,,,,
0.500800,,,,0.982204,2.418298,3.126519,-0.844411,2.583287,2.881548
0.522900,4.990000,0.978000,4.450000,,,,,,
0.556500,4.990000,0.978000,4.450000,1.100238,2.384220,3.078068,-0.819718,2.584268,3.102310
0.589900,4.990000,0.978000,4.450000,,,,,,
0.612900,,,,1.100238,2.384220,3.078068,-0.794311,2.577166,3.321731
0.634100,4.990000,0.978000,4.450000,,,,,,
0.667900,4.990000,0.978000,4.450000,1.100238,2.384220,3.078068,-0.772502,2.561172,3.541031
0.711500,4.990000,0.978000,4.450000,,,,,,
0.722700,,,,1.100238,2.384220,3.078068,-0.751110,2.535554,3.760789
0.755600,4.990000,0.978000,4.450000,,,,,,
0.777800,,,,0.982907,2.415035,3.123406,-0.723266,2.496932,3.976604
0.789900,4.990000,0.978000,4.450000,,,,,,
0.834300,4.990000,0.978000,4.450000,0.778325,2.466307,3.202693,-0.670205,2.442169,4.188506
0.877700,4.990000,0.978000,4.450000,,,,,,
0.888900,,,,0.578913,2.509612,3.280273,-0.620067,2.389782,4.343578
0.912200,4.990000,0.978000,4.450000,,,,,,
0.950100,4.990000,0.978000,4.450000,0.373289,2.540565,3.359836,-0.567824,2.353000,4.437914
0.994500,4.990000,0.978000,4.450000,,,,,,
1.005600,,,,0.144946,2.548916,3.446133,-0.567824,2.353000,4.437914
1.028500,4.990000,0.978000,4.450000,,,,,,
1.061500,,,,-0.066038,2.519383,3.504427,-0.567824,2.353000,4.437914
1.071900,4.990000,0.978000,4.450000,,,,,,
1.116000,4.990000,0.978000,4.450000,-0.273217,2.451616,3.533109,-0.567824,2.353000,4.437914
1.149300,4.990000,0.978000,4.450000,,,,,,
1.171500,,,,-0.476804,2.362477,3.529747,-0.581550,2.368905,4.351807
1.193600,4.990000,0.978000,4.450000,,,,,,
1.227000,4.990000,0.978000,4.450000,-0.669507,2.262736,3.489399,-0.615026,2.407655,4.136593
1.271600,4.990000,0.978000,4.450000,,,,,,
1.282700,,,,-0.669507,2.262736,3.489399,-0.647815,2.445263,3.918895
1.305000,4.990000,0.978000,4.450000,,,,,,
1.338200,,,,-0.669507,2.262736,3.489399,-0.681077,2.480167,3.702681
1.349500,4.990000,0.978000,4.450000,,,,,,
1.383100,4.990000,0.978000,4.450000,,,,,,
1.393900,,,,-0.669507,2.262736,3.489399,-0.723854,2.511581,3.484937
1.416500,4.990000,0.978000,4.450000,,,,,,
1.449600,,,,-0.583308,2.278479,3.492853,-0.782518,2.534295,3.269415
1.460800,4.990000,0.978000,4.450000,,,,,,
1.505100,4.990000,0.978000,4.450000,-0.367623,2.316856,3.492640,-0.858127,2.541656,3.064064
1.549700,4.990000,0.978000,4.450000,,,,,,
1.560600,,,,-0.148618,2.353009,3.473449,-0.955118,2.528006,2.864048
1.583100,4.990000,0.978000,4.450000,,,,,,
1.616100,,,,0.065808,2.381000,3.426060,-1.068433,2.488319,2.683440
1.627200,4.990000,0.978000,4.450000,,,,,,
1.660800,4.990000,0.978000,4.450000,,,,,,
1.671700,,,,0.276474,2.395044,3.355027,-1.149536,2.442057,2.541230
1.704900,4.990000,0.978000,4.450000,,,,,,
1.727000,,,,0.479700,2.392568,3.267238,-1.220527,2.393583,2.365562
1.738300,4.990000,0.978000,4.450000,,,,,,
1.771900,4.990000,0.978000,4.450000,,,,,,
1.783000,,,,0.677873,2.374956,3.167183,-1.261757,2.352706,2.285727
1.816200,4.990000,0.978000,4.450000,,,,,,
1.838500,,,,0.866521,2.345498,3.055637,-1.261757,2.352706,2.285727
1.849500,4.990000,0.978000,4.450000,,,,,,
1.883000,4.990000,0.978000,4.450000,,,,,,
1.894000,,,,1.046582,2.305262,2.930083,-1.261757,2.352706,2.285727
1.927300,4.990000,0.978000,4.450000,,,,,,
1.949300,,,,1.207616,2.258582,2.787291,-1.261757,2.352706,2.285727
1.960700,4.990000,0.978000,4.450000,,,,,,
2.004900,4.990000,0.978000,4.450000,1.207616,2.258582,2.787291,-1.153051,2.391907,2.255848
2.049400,4.990000,0.978000,4.450000,,,,,,
2.060400,,,,1.207616,2.258582,2.787291,-0.941942,2.449426,2.216028
2.093700,4.990000,0.978000,4.450000,,,,,,
2.115800,,,,1.207616,2.258582,2.787291,-0.740502,2.438463,2.213324
2.138100,4.990000,0.978000,4.450000,,,,,,
2.171500,4.990000,0.978000,4.450000,1.136831,2.294115,2.807111,-0.571249,2.337774,2.226165
2.205000,4.990000,0.978000,4.450000,,,,,,
2.227100,,,,0.943115,2.385203,2.862684,-0.484668,2.215428,2.268400
2.249400,4.990000,0.978000,4.450000,,,,,,
2.283600,4.990000,0.978000,4.450000,0.740237,2.456318,2.924452,-0.474128,2.173240,2.291363
2.327000,4.990000,0.978000,4.450000,,,,,,
2.338200,,,,0.535191,2.475995,3.001588,-0.474128,2.173240,2.291363
2.360700,4.990000,0.978000,4.450000,,,,,,
2.394200,4.990000,0.978000,4.450000,0.334983,2.436435,3.093102,-0.474128,2.173240,2.291363
2.438500,4.990000,0.978000,4.450000,,,,,,
2.449600,,,,0.183430,2.364657,3.163110,-0.474128,2.173240,2.291363
2.483000,4.990000,0.978000,4.450000,,,,,,
2.505200,,,,0.147622,2.339489,3.173159,-0.443220,2.231791,2.499141
2.516500,4.990000,0.978000,4.450000,,,,,,
2.560700,4.990000,0.978000,4.450000,0.147622,2.339489,3.173159,-0.418503,2.285846,2.711440
2.594100,4.990000,0.978000,4.450000,,,,,,
2.616500,,,,0.147622,2.339489,3.173159,-0.404416,2.318472,2.929610
2.638500,4.990000,0.978000,4.450000,,,,,,
2.671400,,,,0.147622,2.339489,3.173159,-0.399186,2.307216,3.150015
2.682700,4.990000,0.978000,4.450000,,,,,,
2.727000,4.990000,0.978000,4.450000,-0.008162,2.398460,3.167325,-0.409502,2.256770,3.353526
2.760600,4.990000,0.978000,4.450000,,,,,,
2.782800,,,,-0.219920,2.468886,3.167574,-0.432573,2.195570,3.519382
2.794200,4.990000,0.978000,4.450000,,,,,,
2.843000,4.990000,0.978000,4.450000,-0.440018,2.490913,3.174230,-0.441218,2.162198,3.610698
2.876600,4.990000,0.978000,4.450000,,,,,,
2.898700,,,,-0.673153,2.441352,3.173002,-0.441218,2.162198,3.610698
2.910100,4.990000,0.978000,4.450000,,,,,,
2.954200,4.990000,0.978000,4.450000,-0.837299,2.365099,3.170926,-0.441218,2.162198,3.610698
2.998300,4.990000,0.978000,4.450000,,,,,,
3.009700,,,,-0.898931,2.336346,3.167997,-0.441218,2.162198,3.610698
