Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ
0.042900,4.990000,0.978000,4.450000,,,,,,
0.054000,,,,-0.667079,2.404959,3.752929,-1.000639,2.387965,1.109590
0.087200,4.990000,0.978000,4.450000,,,,,,
0.109400,,,,-0.464147,2.452882,3.675854,-0.981338,2.421474,1.328509
0.121800,4.990000,0.978000,4.450000,,,,,,
0.164900,4.990000,0.978000,4.450000,-0.260016,2.492643,3.598323,-0.962048,2.453562,1.547299
0.198300,4.990000,0.978000,4.450000,,,,,,
0.220500,,,,-0.055045,2.519195,3.520474,-0.942825,2.483439,1.765323
0.243100,4.990000,0.978000,4.450000,,,,,,
0.275900,,,,0.153772,2.529179,3.441163,-0.923329,2.510698,1.986448
0.287000,4.990000,0.978000,4.450000,,,,,,
0.320500,4.990000,0.978000,4.450000,,,,,,
0.331500,,,,0.360689,2.521275,3.362575,-0.903980,2.533925,2.205908
0.353800,4.990000,0.978000,4.450000,,,,,,
0.387200,4.990000,0.978000,4.450000,0.566932,2.496969,3.284242,-0.884554,2.552732,2.426245
0.431600,4.990000,0.978000,4.450000,,,,,,
0.443300,,,,0.771879,2.459052,3.206402,-0.865049,2.566527,2.647466
0.465100,4.990000,0.978000,4.450000,,,,,,
0.498300,,,,0.975252,2.411234,3.129159,-0.845500,2.574787,2.869199
0.509500,4.990000,0.978000,4.450000,,,,,,
0.543000,4.990000,0.978000,4.450000,,,,,,
0.554100,,,,0.975252,2.411234,3.129159,-0.822620,2.575762,3.090961
0.587400,4.990000,0.978000,4.450000,,,,,,
0.609500,,,,0.975252,2.411234,3.129159,-0.798965,2.569486,3.311621
0.637700,4.990000,0.978000,4.450000,,,,,,
0.659800,,,,0.975252,2.411234,3.129159,-0.773989,2.557636,3.514034
0.685300,4.990000,0.978000,4.450000,,,,,,
0.715600,,,,0.937046,2.420905,3.143039,-0.746807,2.538917,3.730854
0.726700,4.990000,0.978000,4.450000,,,,,,
0.760000,4.990000,0.978000,4.450000,,,,,,
0.771100,,,,0.733180,2.470778,3.216475,-0.723909,2.513931,3.950605
0.804500,4.990000,0.978000,4.450000,,,,,,
0.826400,,,,0.528872,2.515354,3.290157,-0.702577,2.483319,4.169164
0.838000,4.990000,0.978000,4.450000,,,,,,
0.882100,4.990000,0.978000,4.450000,0.322709,2.548447,3.366027,-0.689533,2.447806,4.388097
0.915600,4.990000,0.978000,4.450000,,,,,,
0.937600,,,,0.115030,2.563693,3.443152,-0.682497,2.416057,4.563429
0.949000,4.990000,0.978000,4.450000,,,,,,
0.982400,4.990000,0.978000,4.450000,,,,,,
0.993400,,,,-0.092490,2.555368,3.525041,-0.682497,2.416057,4.563429
1.026700,4.990000,0.978000,4.450000,,,,,,
1.049000,,,,-0.292007,2.522020,3.614096,-0.682497,2.416057,4.563429
1.061100,4.990000,0.978000,4.450000,,,,,,
1.104700,4.990000,0.978000,4.450000,-0.488416,2.466170,3.702669,-0.682497,2.416057,4.563429
1.149000,4.990000,0.978000,4.450000,,,,,,
1.160100,,,,-0.679219,2.389646,3.788156,-0.680591,2.433538,4.431520
1.193300,4.990000,0.978000,4.450000,,,,,,
1.215400,,,,-0.755942,2.356364,3.815992,-0.675583,2.459211,4.211585
1.237400,4.990000,0.978000,4.450000,,,,,,
1.271900,4.990000,0.978000,4.450000,-0.755942,2.356364,3.815992,-0.666657,2.479526,3.991577
1.315800,4.990000,0.978000,4.450000,,,,,,
1.326300,,,,-0.755942,2.356364,3.815992,-0.650157,2.492081,3.767966
1.359600,4.990000,0.978000,4.450000,,,,,,
1.381900,,,,-0.755942,2.356364,3.815992,-0.621601,2.498779,3.550006
1.393100,4.990000,0.978000,4.450000,,,,,,
1.437400,4.990000,0.978000,4.450000,-0.583893,2.390498,3.810997,-0.582553,2.498526,3.331516
1.470700,4.990000,0.978000,4.450000,,,,,,
1.493000,,,,-0.362908,2.430788,3.797549,-0.530193,2.488009,3.112972
1.504200,4.990000,0.978000,4.450000,,,,,,
1.537700,4.990000,0.978000,4.450000,,,,,,
1.548800,,,,-0.145794,2.463863,3.777970,-0.481750,2.467845,2.899789
1.571200,4.990000,0.978000,4.450000,,,,,,
1.604300,,,,0.074407,2.485857,3.752866,-0.440356,2.441293,2.682812
1.615500,4.990000,0.978000,4.450000,,,,,,
1.660100,4.990000,0.978000,4.450000,0.294655,2.492151,3.727010,-0.388397,2.406467,2.470042
1.704400,4.990000,0.978000,4.450000,,,,,,
1.715400,,,,0.514618,2.480090,3.699573,-0.318366,2.362743,2.263968
1.748900,4.990000,0.978000,4.450000,,,,,,
1.771300,,,,0.730955,2.447481,3.662578,-0.237359,2.314378,2.063023
1.782200,4.990000,0.978000,4.450000,,,,,,
1.826400,4.990000,0.978000,4.450000,0.941636,2.393050,3.618586,-0.143394,2.265698,1.867829
1.859700,4.990000,0.978000,4.450000,,,,,,
1.881900,,,,1.145779,2.317205,3.578773,-0.034180,2.219032,1.680918
1.893700,4.990000,0.978000,4.450000,,,,,,
1.937400,4.990000,0.978000,4.450000,1.336971,2.226336,3.511666,-0.034180,2.219032,1.680918
1.973800,4.990000,0.978000,4.450000,,,,,,
1.995900,,,,1.418051,2.181241,3.473421,-0.034180,2.219032,1.680918
2.018400,4.990000,0.978000,4.450000,,,,,,
2.051500,,,,1.418051,2.181241,3.473421,-0.034180,2.219032,1.680918
2.062500,4.990000,0.978000,4.450000,,,,,,
2.096500,4.990000,0.978000,4.450000,,,,,,
2.107000,,,,1.418051,2.181241,3.473421,-0.072735,2.263392,1.733271
2.140700,4.990000,0.978000,4.450000,,,,,,
2.162800,,,,1.418051,2.181241,3.473421,-0.188645,2.374071,1.884156
2.184800,4.990000,0.978000,4.450000,,,,,,
2.218200,4.990000,0.978000,4.450000,1.208685,2.231798,3.445532,-0.322851,2.436919,2.046663
2.251600,4.990000,0.978000,4.450000,,,,,,
2.274200,,,,0.991441,2.279471,3.419088,-0.464651,2.428069,2.218775
2.285200,4.990000,0.978000,4.450000,,,,,,
2.318600,4.990000,0.978000,4.450000,,,,,,
2.329600,,,,0.773712,2.316573,3.391722,-0.608078,2.377398,2.372567
2.362900,4.990000,0.978000,4.450000,,,,,,
2.384900,,,,0.556023,2.339186,3.364818,-0.677011,2.347157,2.442359
2.406900,4.990000,0.978000,4.450000,,,,,,
2.440300,4.990000,0.978000,4.450000,0.336017,2.346619,3.335938,-0.677011,2.347157,2.442359
2.484800,4.990000,0.978000,4.450000,,,,,,
2.495900,,,,0.115361,2.339266,3.310518,-0.677011,2.347157,2.442359
2.529300,4.990000,0.978000,4.450000,,,,,,
2.551600,,,,-0.104389,2.319815,3.286253,-0.677011,2.347157,2.442359
2.573700,4.990000,0.978000,4.450000,,,,,,
2.607100,4.990000,0.978000,4.450000,-0.323510,2.290097,3.262692,-0.742601,2.377334,2.549141
2.651600,4.990000,0.978000,4.450000,,,,,,
2.662900,,,,-0.541589,2.253937,3.235114,-0.856061,2.425013,2.734857
2.685100,4.990000,0.978000,4.450000,,,,,,
2.718500,4.990000,0.978000,4.450000,-0.585680,2.246833,3.228219,-0.972085,2.461571,2.925521
2.751900,4.990000,0.978000,4.450000,,,,,,
2.774000,,,,-0.585680,2.246833,3.228219,-1.086600,2.476453,3.111752
2.796500,4.990000,0.978000,4.450000,,,,,,
