Timestamp,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY
0.000,True,4.000,True,0.485176,0.463651,True,5.043,True,0.538380,0.461025
0.019,True,4.000,True,0.489117,0.460697,True,5.043,True,0.537639,0.454176
0.033,True,4.000,True,0.492795,0.456615,True,5.043,True,0.537639,0.454176
0.042,True,4.000,True,0.492795,0.456615,True,5.043,True,0.537510,0.450758
0.053,True,4.000,True,0.496557,0.453617,True,5.043,True,0.537510,0.450758
0.064,True,4.000,True,0.499600,0.451607,True,5.043,True,0.537627,0.447404
0.075,True,4.000,True,0.499600,0.451607,True,5.043,True,0.537641,0.445242
0.086,True,4.000,True,0.501684,0.450149,True,5.043,True,0.537641,0.445242
0.097,True,4.000,True,0.501684,0.450149,True,5.043,True,0.538201,0.444196
0.108,True,4.000,True,0.502110,0.450156,True,5.043,True,0.538763,0.444435
0.120,True,4.000,True,0.502132,0.451084,True,5.043,True,0.538763,0.444435
0.132,True,4.000,True,0.501792,0.452726,True,5.043,True,0.539830,0.445629
0.142,True,4.000,True,0.501792,0.452726,True,5.043,True,0.540969,0.446957
0.153,True,4.000,True,0.500480,0.453683,True,5.043,True,0.541596,0.448308
0.164,True,4.000,True,0.500480,0.453683,True,5.043,True,0.541596,0.448308
0.176,True,4.000,True,0.498921,0.455822,True,5.043,True,0.541596,0.448308
0.186,True,4.000,True,0.496959,0.456771,True,5.043,True,0.542058,0.450478
0.198,True,5.978,True,0.494251,0.457950,True,5.083,True,0.541858,0.452015
0.209,True,5.978,True,0.494251,0.457950,True,5.083,True,0.541858,0.452015
0.220,True,5.913,True,0.494251,0.457950,True,5.044,True,0.541614,0.453292
0.231,True,5.917,True,0.489941,0.460041,True,5.030,True,0.541566,0.454192
0.242,True,5.897,True,0.489941,0.460041,True,5.029,True,0.541177,0.455699
0.253,True,5.841,True,0.488155,0.461417,True,5.024,True,0.541177,0.455699
0.264,True,5.765,True,0.488155,0.461417,True,4.987,True,0.541545,0.456843
0.275,True,5.726,True,0.485923,0.462848,True,4.954,True,0.541629,0.457994
0.286,True,5.683,True,0.483442,0.464055,True,4.916,True,0.540844,0.460288
0.297,True,5.656,True,0.481200,0.464913,True,4.911,True,0.540844,0.460288
0.309,True,5.635,True,0.481200,0.464913,True,4.904,True,0.540122,0.462457
0.320,True,5.621,True,0.481200,0.464913,True,4.900,True,0.540122,0.462457
0.330,True,5.591,True,0.479246,0.465795,True,4.900,True,0.540122,0.462457
0.342,True,5.520,True,0.477495,0.466589,True,4.871,True,0.540714,0.464332
0.353,True,5.485,True,0.477495,0.466589,True,4.855,True,0.541562,0.465703
0.364,True,5.428,True,0.476334,0.467699,True,4.826,True,0.542704,0.467164
0.375,True,5.381,True,0.475287,0.469540,True,4.813,True,0.542704,0.467164
0.386,True,5.307,True,0.474582,0.470654,True,4.748,True,0.544205,0.468673
0.397,True,5.276,True,0.474582,0.470654,True,4.741,True,0.545491,0.470438
0.409,True,5.241,True,0.473832,0.474135,True,4.738,True,0.545491,0.470438
0.425,True,5.171,True,0.472951,0.475703,True,4.722,True,0.548001,0.471480
0.436,True,5.135,True,0.472951,0.475703,True,4.658,True,0.552030,0.469697
0.447,True,5.014,True,0.474787,0.479113,True,4.604,True,0.552030,0.469697
0.459,True,4.699,True,0.476451,0.481687,True,3.823,True,0.549942,0.460595
0.470,True,4.583,True,0.476451,0.481687,True,3.534,True,0.549376,0.459517
0.480,True,4.372,True,0.478985,0.481576,True,3.337,True,0.549376,0.459517
0.492,True,4.125,True,0.471567,0.486652,True,3.239,True,0.555826,0.464057
0.503,True,4.085,True,0.471567,0.486652,True,3.242,True,0.553324,0.475734
0.514,True,4.073,True,0.469798,0.486422,True,3.250,True,0.553324,0.475734
0.525,True,4.114,True,0.469798,0.486422,True,3.276,True,0.551677,0.476766
0.536,True,4.176,True,0.465424,0.486960,True,3.310,True,0.550512,0.479636
0.547,True,4.176,True,0.465424,0.486960,True,3.310,True,0.550512,0.479636
0.558,True,4.577,True,0.460928,0.491954,True,3.833,True,0.549007,0.484254
0.570,True,4.743,True,0.461292,0.492428,True,4.101,True,0.548335,0.485730
0.580,True,4.822,True,0.461292,0.492428,True,4.194,True,0.547072,0.486524
0.592,True,4.880,True,0.460794,0.491931,True,4.298,True,0.547072,0.486524
0.603,True,4.963,True,0.461435,0.491943,True,4.454,True,0.546909,0.486819
0.614,True,4.963,True,0.461435,0.491943,True,4.454,True,0.546909,0.486819
0.625,True,5.007,True,0.460903,0.490861,True,4.537,True,0.546439,0.486679
0.636,True,5.021,True,0.461390,0.489252,True,4.591,True,0.545779,0.486092
0.647,True,5.041,True,0.461390,0.489252,True,4.639,True,0.544668,0.483804
0.659,True,5.055,True,0.461390,0.489252,True,4.680,True,0.544668,0.483804
0.670,True,4.873,True,0.465206,0.474276,True,4.465,True,0.540925,0.476927
0.681,True,4.664,True,0.465206,0.474276,False,0.000,False,0.000000,0.000000
0.692,True,4.314,True,0.465206,0.474276,False,0.000,False,0.000000,0.000000
0.703,True,3.833,True,0.486322,0.446143,False,0.000,False,0.000000,0.000000
0.714,True,3.711,True,0.486322,0.446143,False,0.000,False,0.000000,0.000000
0.725,True,3.711,True,0.486322,0.446143,False,0.000,False,0.000000,0.000000
0.737,True,4.074,True,0.483915,0.459994,False,0.000,False,0.000000,0.000000
0.747,True,4.297,True,0.483915,0.459994,False,0.000,False,0.000000,0.000000
0.759,True,4.675,True,0.483379,0.460789,False,0.000,False,0.000000,0.000000
0.770,True,5.365,True,0.486253,0.458484,False,0.000,False,0.000000,0.000000
0.781,True,5.657,True,0.486253,0.458484,True,4.485,True,0.537286,0.456626
0.792,True,5.897,True,0.487818,0.454201,True,4.522,True,0.537286,0.456626
0.803,True,6.107,True,0.487818,0.454201,True,4.571,True,0.535312,0.455558
0.814,True,6.257,True,0.488475,0.453369,True,4.694,True,0.535312,0.455558
0.825,True,6.257,True,0.488475,0.453369,True,4.694,True,0.535312,0.455558
0.836,True,6.428,True,0.486682,0.452307,True,5.181,True,0.532777,0.455464
0.848,True,6.463,True,0.485412,0.452166,True,5.344,True,0.530664,0.456264
0.859,True,6.486,True,0.485412,0.452166,True,5.361,True,0.528924,0.456843
0.870,True,6.486,True,0.485412,0.452166,True,5.361,True,0.528924,0.456843
0.881,True,6.513,True,0.481693,0.453376,True,5.360,True,0.527227,0.457944
0.892,True,6.521,True,0.481693,0.453376,True,5.366,True,0.526438,0.459092
0.903,True,6.500,True,0.480548,0.453766,True,5.387,True,0.525296,0.459272
0.914,True,6.489,True,0.479205,0.454924,True,5.402,True,0.524449,0.459706
0.926,True,6.481,True,0.479205,0.454924,True,5.413,True,0.524449,0.459706
0.937,True,6.476,True,0.478644,0.457181,True,5.420,True,0.524599,0.459562
0.948,True,6.469,True,0.478644,0.457181,True,5.421,True,0.525351,0.459371
0.959,True,6.458,True,0.479208,0.457095,True,5.421,True,0.525351,0.459371
0.970,True,6.458,True,0.479208,0.457095,True,5.421,True,0.525351,0.459371
0.981,True,6.464,True,0.480511,0.456794,True,5.429,True,0.526204,0.458449
0.992,True,6.463,True,0.480353,0.455653,True,5.432,True,0.526204,0.458449
1.003,True,6.461,True,0.480353,0.455653,True,5.454,True,0.526204,0.458449
1.014,True,6.484,True,0.479067,0.454191,True,5.497,True,0.522167,0.455659
1.025,True,6.491,True,0.478353,0.453284,True,5.516,True,0.522167,0.455659
1.036,True,6.497,True,0.478353,0.453284,True,5.531,True,0.522167,0.455659
1.047,True,6.505,True,0.479309,0.452886,True,5.580,True,0.522291,0.452368
1.058,True,6.502,True,0.480593,0.452735,True,5.600,True,0.522291,0.452368
1.070,True,6.499,True,0.480593,0.452735,True,5.594,True,0.522773,0.452563
1.081,True,6.481,True,0.475998,0.454827,True,5.557,True,0.521426,0.456789
1.092,True,6.408,True,0.472917,0.458280,True,5.529,True,0.521426,0.456789
1.103,True,6.347,True,0.472917,0.458280,True,5.492,True,0.521492,0.459978
1.114,True,6.239,True,0.472434,0.460063,True,5.459,True,0.522132,0.461211
1.126,True,6.195,True,0.472434,0.460063,True,5.458,True,0.522132,0.461211
1.136,True,6.203,True,0.473139,0.461756,True,5.445,True,0.523353,0.461922
1.148,True,6.237,True,0.473416,0.462688,True,5.451,True,0.524469,0.461949
1.159,True,6.251,True,0.473416,0.462688,True,5.464,True,0.524469,0.461949
1.170,True,6.278,True,0.474575,0.463180,True,5.474,True,0.524469,0.461949
1.181,True,6.302,True,0.475842,0.464280,True,4.697,True,0.525697,0.461505
1.192,True,6.307,True,0.475842,0.464280,True,4.413,True,0.527591,0.460689
1.203,True,6.299,True,0.477663,0.465266,True,4.197,True,0.527591,0.460689
1.214,True,6.264,True,0.479201,0.466238,True,3.977,True,0.529597,0.459870
1.225,True,6.242,True,0.480653,0.467371,True,3.970,True,0.530929,0.459473
1.236,True,6.225,True,0.480653,0.467371,True,3.964,True,0.530929,0.459473
1.247,True,6.213,True,0.480653,0.467371,True,3.954,True,0.533055,0.459005
1.259,True,6.183,True,0.481642,0.468418,True,3.927,True,0.534939,0.458546
1.270,True,6.172,True,0.483090,0.469740,True,3.912,True,0.534939,0.458546
1.281,True,6.142,True,0.483743,0.470402,True,3.908,True,0.536125,0.458393
1.292,True,6.125,True,0.483743,0.470402,True,3.891,True,0.537187,0.458202
1.303,True,6.083,True,0.484064,0.470883,True,3.878,True,0.537187,0.458202
1.314,True,6.004,True,0.484533,0.471506,True,3.852,True,0.537847,0.458439
1.325,True,5.970,True,0.484533,0.471506,True,3.830,True,0.538328,0.458830
1.336,True,5.943,True,0.484957,0.472162,True,3.813,True,0.538328,0.458830
1.347,True,5.898,True,0.484935,0.472086,True,3.789,True,0.538367,0.459007
1.358,True,5.870,True,0.484668,0.472542,True,3.771,True,0.538560,0.459127
1.370,True,5.870,True,0.484668,0.472542,True,3.771,True,0.538560,0.459127
1.380,True,5.865,True,0.484668,0.472542,True,3.770,True,0.538357,0.459239
1.392,True,5.867,True,0.484519,0.472320,True,3.759,True,0.538217,0.459466
1.403,True,5.870,True,0.484293,0.472785,True,3.749,True,0.538217,0.459466
1.414,True,5.838,True,0.484206,0.472820,True,3.731,True,0.538142,0.459521
1.425,True,5.811,True,0.484206,0.472820,True,3.725,True,0.538091,0.459844
1.436,True,5.728,True,0.483961,0.472777,True,3.711,True,0.537864,0.460189
1.447,True,5.714,True,0.483550,0.472983,True,3.702,True,0.537864,0.460189
1.458,True,5.707,True,0.483550,0.472983,True,3.693,True,0.537464,0.460527
1.470,True,5.706,True,0.482775,0.472859,True,3.686,True,0.537464,0.460527
1.481,True,5.707,True,0.482775,0.472859,True,3.681,True,0.537172,0.460893
1.494,True,5.670,True,0.482357,0.472878,True,3.672,True,0.536755,0.460955
1.503,True,5.648,True,0.482357,0.472878,True,3.666,True,0.536712,0.461022
1.514,True,5.619,True,0.481782,0.472766,True,3.660,True,0.536712,0.461022
1.525,True,5.597,True,0.481782,0.472766,True,3.644,True,0.535779,0.462095
1.536,True,5.583,True,0.477501,0.473221,True,3.631,True,0.535779,0.462095
1.547,True,5.580,True,0.473527,0.473544,True,3.578,True,0.532441,0.464659
1.558,True,5.584,True,0.473527,0.473544,True,3.562,True,0.530161,0.466141
1.570,True,5.578,True,0.472939,0.473928,True,3.540,True,0.529994,0.466553
1.580,True,5.574,True,0.472939,0.473928,True,3.533,True,0.529994,0.466553
1.592,True,5.589,True,0.473210,0.474074,True,3.530,True,0.529994,0.466553
1.603,True,5.559,True,0.473094,0.474158,True,3.525,True,0.529735,0.466467
1.614,True,5.560,True,0.473139,0.474350,True,3.525,True,0.529735,0.466467
1.625,True,5.560,True,0.473139,0.474350,True,3.524,True,0.530126,0.466382
1.636,True,5.578,True,0.473340,0.474299,True,3.519,True,0.530037,0.466215
1.647,True,5.582,True,0.473553,0.473827,True,3.517,True,0.530037,0.466215
1.659,True,5.583,True,0.473553,0.473827,True,3.519,True,0.530105,0.466217
1.670,True,5.323,True,0.473603,0.473993,True,3.521,True,0.530031,0.466214
1.681,True,5.098,True,0.473395,0.474359,True,3.521,True,0.530031,0.466214
1.692,True,4.785,True,0.473395,0.474359,True,3.526,True,0.529935,0.466387
1.703,True,4.688,True,0.473142,0.474217,True,3.527,True,0.529888,0.466416
1.714,True,4.645,True,0.473459,0.474029,True,3.527,True,0.529888,0.466416
1.725,True,4.645,True,0.473459,0.474029,True,3.527,True,0.529888,0.466416
1.736,True,4.654,True,0.473076,0.473903,True,3.524,True,0.529848,0.466341
1.747,True,4.655,True,0.473065,0.473832,True,3.522,True,0.529848,0.466341
1.759,True,4.655,True,0.473065,0.473832,True,3.522,True,0.529927,0.466350
1.770,True,4.658,True,0.472973,0.473481,True,3.523,True,0.529517,0.466126
1.782,True,4.660,True,0.472973,0.473481,True,3.524,True,0.529517,0.466126
1.792,True,4.667,True,0.472965,0.472936,True,3.525,True,0.529517,0.466126
1.803,True,4.673,True,0.472654,0.472278,True,3.524,True,0.528002,0.465913
1.814,True,4.672,True,0.472654,0.472278,True,3.532,True,0.528002,0.465913
1.825,True,4.688,True,0.472095,0.471341,True,3.522,True,0.527046,0.466052
1.837,True,4.686,True,0.471060,0.470181,True,3.516,True,0.525836,0.466549
1.848,True,4.686,True,0.470244,0.469785,True,3.510,True,0.525836,0.466549
1.859,True,4.685,True,0.470244,0.469785,True,3.506,True,0.525230,0.466776
1.870,True,4.686,True,0.469817,0.470054,True,3.510,True,0.525230,0.466776
1.881,True,4.688,True,0.469817,0.470054,True,3.523,True,0.525176,0.466865
1.892,True,4.689,True,0.469989,0.470405,True,3.538,True,0.525931,0.466648
1.905,True,4.708,True,0.470361,0.470244,True,3.540,True,0.526068,0.466583
1.914,True,4.723,True,0.470361,0.470244,True,3.541,True,0.526068,0.466583
1.925,True,4.712,True,0.470491,0.470090,True,3.550,True,0.525539,0.466612
1.936,True,4.712,True,0.470614,0.470112,True,3.558,True,0.525539,0.466612
1.948,True,4.710,True,0.470614,0.470112,True,3.566,True,0.525864,0.466254
1.959,True,4.719,True,0.470995,0.470111,True,3.579,True,0.526596,0.466269
1.970,True,4.728,True,0.471823,0.470146,True,3.585,True,0.526596,0.466269
1.981,True,4.735,True,0.471823,0.470146,True,3.591,True,0.527047,0.466204
1.992,True,4.735,True,0.471823,0.470146,True,3.591,True,0.527047,0.466204
2.003,True,4.767,True,0.472179,0.470798,True,3.593,True,0.527974,0.465795
2.014,True,4.767,True,0.472179,0.470798,True,3.593,True,0.527974,0.465795
2.025,True,4.748,True,0.481204,0.471820,True,3.601,True,0.532492,0.463922
2.036,True,4.759,True,0.487276,0.472264,True,3.652,True,0.538894,0.460714
2.048,True,4.774,True,0.487276,0.472264,True,3.682,True,0.542044,0.459102
