Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.000000,True,-0.060482,1.112723,0.006854,0.194383,0.173550,0.006513,-0.965429,True,0.003674,1.113275,0.017280,0.200228,0.171658,0.007087,-0.964569,True,7.590,True,0.511728,0.537907,True,5.551,True,0.491024,0.533771,0,True,Device,-0.030810,1.114583,0.026788,-0.053049,-0.080576,-0.000027,0.995336,353.937800,350.717600,0.489456,,,,,,,0.000000,0.000000,0.000000
0.018860,True,-0.060523,1.112719,0.006847,0.193038,0.168820,0.006410,-0.966538,True,0.003632,1.113306,0.017276,0.196174,0.166998,0.006761,-0.966220,True,7.590,True,0.511200,0.537699,True,5.551,True,0.491190,0.533869,,True,Device,-0.030853,1.114594,0.026783,-0.052988,-0.080610,0.000244,0.995336,353.947400,350.712200,0.520173,,,,,,,,,
0.035461,True,-0.060549,1.112729,0.006838,0.193088,0.168838,0.006202,-0.966526,True,0.003607,1.113343,0.017266,0.196228,0.167027,0.006553,-0.966206,True,7.590,True,0.511200,0.537699,True,5.551,True,0.491190,0.533869,,True,Device,-0.030879,1.114620,0.026772,-0.053069,-0.080618,0.000448,0.995331,353.940000,350.709900,0.544400,,,,,,,,,
0.035500,True,-0.060549,1.112729,0.006838,0.193088,0.168838,0.006202,-0.966526,True,0.003607,1.113343,0.017266,0.196228,0.167027,0.006553,-0.966206,True,7.590,True,0.511200,0.537699,True,5.551,True,0.491190,0.533869,,True,Device,-0.030879,1.114620,0.026772,-0.053069,-0.080618,0.000448,0.995331,353.940000,350.709900,0.544400,,,,,,,,,
0.037964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.046570,True,-0.060562,1.112747,0.006829,0.191567,0.165474,0.006183,-0.967410,True,0.003595,1.113367,0.017245,0.196295,0.166936,0.006488,-0.966208,True,7.590,True,0.510708,0.538034,True,5.551,True,0.491190,0.533869,,True,Device,-0.030889,1.114643,0.026758,-0.053142,-0.080523,0.000494,0.995335,353.932000,350.720500,0.549741,,,,,,,,,
0.057800,True,-0.060567,1.112757,0.006811,0.191691,0.165390,0.006099,-0.967401,True,0.003592,1.113386,0.017217,0.194528,0.163002,0.006456,-0.967237,True,7.590,True,0.510708,0.538034,True,5.551,True,0.491180,0.533453,,True,Device,-0.030891,1.114661,0.026735,-0.053284,-0.080447,0.000556,0.995334,353.916300,350.728700,0.557731,-0.657610,2.407445,3.749332,-0.999478,2.390042,1.122766,,,
0.057800,True,-0.060567,1.112757,0.006811,0.191691,0.165390,0.006099,-0.967401,True,0.003592,1.113386,0.017217,0.194528,0.163002,0.006456,-0.967237,True,7.590,True,0.510708,0.538034,True,5.551,True,0.491180,0.533453,,True,Device,-0.030891,1.114661,0.026735,-0.053284,-0.080447,0.000556,0.995334,353.916300,350.728700,0.557731,-0.657610,2.407445,3.749332,-0.999478,2.390042,1.122766,,,
0.068900,True,-0.060591,1.112774,0.006822,0.191893,0.165231,0.006019,-0.967388,True,0.003571,1.113410,0.017207,0.194732,0.162850,0.006376,-0.967222,True,7.590,True,0.510708,0.538034,True,5.551,True,0.491180,0.533453,,True,Device,-0.030908,1.114688,0.026736,-0.053498,-0.080291,0.000596,0.995335,353.892100,350.746100,0.563397,,,,,,,,,
0.068909,True,-0.060591,1.112774,0.006822,0.191893,0.165231,0.006019,-0.967388,True,0.003571,1.113410,0.017207,0.194732,0.162850,0.006376,-0.967222,True,7.590,True,0.510708,0.538034,True,5.551,True,0.491180,0.533453,,True,Device,-0.030908,1.114688,0.026736,-0.053498,-0.080291,0.000596,0.995335,353.892100,350.746100,0.563397,,,,,,,,,
