Timestamp,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY
0.000,True,4.583,True,0.449314,0.460000,True,4.789,True,0.511535,0.497500
0.014,True,4.579,True,0.449314,0.460000,True,4.787,True,0.511535,0.497500
0.028,True,4.561,True,0.449632,0.459263,True,4.776,True,0.511664,0.497415
0.039,True,4.561,True,0.449632,0.459263,True,4.785,True,0.511929,0.497039
0.050,True,4.561,True,0.449870,0.459473,True,4.793,True,0.511929,0.497039
0.061,True,4.564,True,0.450006,0.459438,True,4.797,True,0.511974,0.497155
0.072,True,4.568,True,0.450006,0.459438,True,4.794,True,0.512252,0.496986
0.084,True,4.557,True,0.450176,0.459600,True,4.776,True,0.512548,0.496989
0.095,True,4.548,True,0.450220,0.459764,True,4.765,True,0.512548,0.496989
0.107,True,4.540,True,0.450220,0.459764,True,4.763,True,0.512596,0.497015
0.120,True,4.542,True,0.450532,0.459646,True,4.762,True,0.512596,0.497015
0.139,True,4.542,True,0.450775,0.459893,True,4.767,True,0.512917,0.496873
0.150,True,4.540,True,0.450816,0.459800,True,4.768,True,0.512917,0.496873
0.161,True,4.534,True,0.450838,0.460058,True,4.774,True,0.512941,0.496989
0.173,True,4.530,True,0.450838,0.460058,True,4.757,True,0.513074,0.496878
0.184,True,4.533,True,0.450713,0.460096,True,4.742,True,0.513074,0.496878
0.195,True,4.538,True,0.450713,0.460096,True,4.734,True,0.513321,0.497015
0.205,True,4.538,True,0.450839,0.460329,True,4.739,True,0.513321,0.497015
0.217,True,4.507,True,0.450701,0.460294,True,4.732,True,0.513396,0.497080
0.228,True,4.495,True,0.450701,0.460294,True,4.725,True,0.513411,0.497096
0.239,True,4.486,True,0.450580,0.460435,True,4.695,True,0.513435,0.497210
0.250,True,4.481,True,0.450580,0.460435,True,4.669,True,0.513435,0.497210
0.261,True,4.474,True,0.450345,0.460064,True,4.649,True,0.513435,0.497210
0.273,True,4.468,True,0.450319,0.460192,True,4.651,True,0.512950,0.497191
0.283,True,4.465,True,0.450319,0.460192,True,4.649,True,0.512950,0.497191
0.295,True,4.453,True,0.450192,0.459832,True,4.642,True,0.513464,0.496659
0.306,True,4.459,True,0.449354,0.458401,True,4.636,True,0.513464,0.496659
0.317,True,4.464,True,0.449354,0.458401,True,4.612,True,0.513955,0.495579
0.328,True,4.432,True,0.441951,0.454820,True,4.384,True,0.508510,0.497940
0.339,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.350,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.361,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.373,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.384,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.394,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.406,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.417,False,0.000,False,0.000000,0.000000,False,0.000,False,0.000000,0.000000
0.428,True,4.433,True,0.422087,0.452733,True,4.375,True,0.494885,0.502025
0.439,True,4.432,True,0.423973,0.453062,True,4.365,True,0.495019,0.502252
0.450,True,4.428,True,0.424675,0.453655,True,4.365,True,0.495019,0.502252
0.461,True,4.423,True,0.424675,0.453655,True,4.376,True,0.495019,0.502252
0.472,True,4.412,True,0.424675,0.453655,True,4.422,True,0.495236,0.502300
0.483,True,4.408,True,0.425766,0.454732,True,4.441,True,0.495302,0.502479
0.495,True,4.407,True,0.425766,0.454732,True,4.453,True,0.495842,0.502555
0.506,True,4.417,True,0.426039,0.454866,True,4.458,True,0.496254,0.502504
0.517,True,4.422,True,0.426655,0.455220,True,4.454,True,0.496254,0.502504
0.528,True,4.429,True,0.427496,0.455753,True,4.455,True,0.496668,0.502508
0.539,True,4.431,True,0.427496,0.455753,True,4.462,True,0.497081,0.502660
0.550,True,4.443,True,0.427833,0.456210,True,4.470,True,0.497081,0.502660
0.561,True,4.452,True,0.427833,0.456210,True,4.465,True,0.497867,0.502735
