Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,HMDVelocityValid,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityValid,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.130826,True,-0.077193,1.019608,0.219391,0.010408,0.060575,-0.013370,-0.998020,True,-0.012260,1.020902,0.216737,-0.040556,-0.089129,-0.006357,-0.995174,True,4.000,True,0.522183,0.462098,True,4.000,True,0.556484,0.378768,,True,Device,-0.044140,1.021453,0.233004,-0.039777,0.020010,0.010759,0.998950,355.417200,2.249285,1.144140,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.142004,True,-0.077344,1.019629,0.219328,0.010750,0.059325,-0.013347,-0.998092,True,-0.012414,1.020917,0.216594,-0.040162,-0.089733,-0.006270,-0.995136,True,4.000,True,0.522183,0.462098,True,4.000,True,0.556484,0.378768,,True,Device,-0.044274,1.021483,0.232899,-0.040171,0.020619,0.010749,0.998922,355.371300,2.318974,1.139264,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.153170,True,-0.077475,1.019702,0.219293,0.012554,0.052738,-0.013408,-0.998439,True,-0.012551,1.021017,0.216450,-0.039649,-0.090580,-0.006415,-0.995079,True,4.000,True,0.523125,0.463342,True,4.000,True,0.556484,0.378768,,True,Device,-0.044384,1.021585,0.232808,-0.040666,0.021452,0.010996,0.998882,355.313000,2.413053,1.162653,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.162322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.164226,True,-0.077611,1.019700,0.219226,0.012779,0.052140,-0.013708,-0.998464,True,-0.012690,1.021049,0.216304,-0.040524,-0.093253,-0.006535,-0.994796,True,4.000,True,0.523125,0.463342,True,4.000,True,0.557058,0.379266,,True,Device,-0.044504,1.021608,0.232700,-0.040914,0.022041,0.011295,0.998856,355.283100,2.479083,1.193644,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,-0.263702,2.495226,3.599723,-0.962078,2.454022,1.546955,,,
0.175449,True,-0.077716,1.019699,0.219108,0.013005,0.051517,-0.014122,-0.998488,True,-0.012800,1.021098,0.216104,-0.040238,-0.093894,-0.006877,-0.994745,True,4.000,True,0.523125,0.463342,True,4.000,True,0.557058,0.379266,,True,Device,-0.044594,1.021640,0.232540,-0.041170,0.022653,0.011707,0.998827,355.252000,2.547160,1.237454,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.186531,True,-0.077783,1.019774,0.218931,0.015072,0.046039,-0.014439,-0.998722,True,-0.012873,1.021232,0.215828,-0.040207,-0.094671,-0.007295,-0.994670,True,4.000,True,0.522965,0.463078,True,4.000,True,0.557058,0.379266,,True,Device,-0.044642,1.021745,0.232312,-0.041165,0.023395,0.012189,0.998804,355.250300,2.630128,1.289291,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,4.990000,0.978000,4.450000,,,,,,,,,
0.197675,True,-0.077861,1.019807,0.218775,0.015094,0.045260,-0.014604,-0.998754,True,-0.012957,1.021284,0.215570,-0.040410,-0.097167,-0.007332,-0.994420,True,4.000,True,0.522965,0.463078,True,4.000,True,0.555906,0.379012,,True,Device,-0.044700,1.021789,0.232104,-0.041200,0.024169,0.012372,0.998782,355.244900,2.718176,1.306519,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
0.206715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.208892,True,-0.077840,1.019838,0.218519,0.014947,0.044183,-0.014829,-0.998802,True,-0.012944,1.021344,0.215175,-0.040519,-0.098252,-0.007513,-0.994308,True,4.000,True,0.522965,0.463078,True,4.000,True,0.555906,0.379012,,True,Device,-0.044651,1.021831,0.231778,-0.041069,0.025239,0.012634,0.998758,355.257800,2.839995,1.331796,True,0.000000,0.000000,0.000000,True,0.000000,0.000000,0.000000,,,,,,,,,,,,
