Timestamp,PositionX,PositionY,PositionZ
0.000000,-0.870000,2.353000,3.830000
0.044356,-0.579975,2.423709,3.719846
0.093992,-0.334632,2.467886,3.626663
0.148911,-0.056910,2.488851,3.521182
0.195048,0.250847,2.474691,3.404294
0.250337,0.507910,2.442793,3.306659
0.300059,0.815838,2.403411,3.189706
0.350408,0.815838,2.403411,3.189706
0.395879,0.815838,2.403411,3.189706
0.446974,0.815838,2.403411,3.189706
0.501924,0.815838,2.403411,3.189706
0.548418,0.815838,2.403411,3.189706
0.603532,0.565910,2.471087,3.293515
0.657562,0.275672,2.520095,3.444231
0.704213,-0.001501,2.498066,3.610909
0.750463,-0.234660,2.435314,3.752495
0.800846,-0.471045,2.364257,3.879298
0.855254,-0.471045,2.364257,3.879298
0.901581,-0.471045,2.364257,3.879298
0.956630,-0.471045,2.364257,3.879298
1.007504,-0.471045,2.364257,3.879298
1.058405,-0.173412,2.429030,3.899096
1.103797,0.127129,2.479331,3.919585
1.154659,0.396741,2.505797,3.947580
1.210145,0.699885,2.508705,3.982597
1.256263,1.029612,2.479946,4.018464
1.310979,1.302504,2.436309,4.032314
1.361837,1.622152,2.362486,4.044790
1.412681,1.622152,2.362486,4.044790
1.458472,1.622152,2.362486,4.044790
1.509243,1.622152,2.362486,4.044790
1.564316,1.622152,2.362486,4.044790
1.610103,1.622152,2.362486,4.044790
1.664294,1.502130,2.440783,3.928165
1.714206,1.353853,2.473022,3.770618
1.765056,1.153503,2.349858,3.585217
1.810276,1.118771,2.285700,3.544379
1.860804,1.118771,2.285700,3.544379
1.915919,1.118771,2.285700,3.544379
1.960768,1.118771,2.285700,3.544379
2.011649,1.118771,2.285700,3.544379
2.061526,1.118771,2.285700,3.544379
2.111465,0.839492,2.345784,3.601207
2.162179,0.551407,2.403282,3.660201
2.217419,0.256473,2.454556,3.714731
2.263600,-0.067230,2.497192,3.771748
2.314318,-0.341222,2.518447,3.807183
2.375712,-0.644992,2.521681,3.824968
2.418546,-1.011476,2.490312,3.805042
2.465659,-1.263339,2.448985,3.774907
2.520397,-1.536256,2.391098,3.729399
2.566036,-1.725572,2.331048,3.670634
2.616232,-1.725572,2.331048,3.670634
2.671295,-1.725572,2.331048,3.670634
2.717648,-1.725572,2.331048,3.670634
2.767452,-1.725572,2.331048,3.670634
2.818552,-1.725572,2.331048,3.670634
2.868266,-1.437754,2.369295,3.732851
2.918310,-1.146842,2.402764,3.789649
2.973791,-0.850702,2.429557,3.831359
3.019110,-0.519946,2.446512,3.864927
3.069047,-0.248733,2.448794,3.884305
3.124768,0.049776,2.436722,3.907121
3.171692,0.381472,2.402955,3.931859
3.222113,0.657544,2.358428,3.964562
3.277486,0.952558,2.295713,3.988092
3.323360,1.275998,2.220329,3.997448
3.373284,1.542315,2.150952,3.992956
3.429132,1.542315,2.150952,3.992956
3.475074,1.542315,2.150952,3.992956
3.525160,1.542315,2.150952,3.992956
3.575809,1.542315,2.150952,3.992956
3.627041,1.265446,2.219188,4.053513
3.677653,0.991355,2.284980,4.112624
3.733042,0.722454,2.340417,4.154811
3.778177,0.424748,2.382053,4.212472
3.829203,0.193792,2.394810,4.242817
3.884081,-0.079598,2.386016,4.281721
3.931009,-0.342400,2.354539,4.359856
3.981358,-0.530861,2.318860,4.396709
4.036541,-0.461564,2.318640,4.370006
4.083239,-0.461564,2.318640,4.370006
4.133100,-0.461564,2.318640,4.370006
4.191926,-0.461564,2.318640,4.370006
4.234489,-0.461564,2.318640,4.370006
4.284964,-0.628540,2.364462,4.329055
4.340542,-0.822710,2.391903,4.269228
4.385561,-1.114563,2.312816,4.184246
4.436488,-1.322111,2.198646,4.154105
4.491247,-1.366422,2.193633,4.133233
4.536808,-1.366422,2.193633,4.133233
4.587458,-1.366422,2.193633,4.133233
4.642997,-1.366422,2.193633,4.133233
4.688327,-1.366422,2.193633,4.133233
4.738528,-1.142895,2.260746,4.011360
4.793816,-0.886623,2.331986,3.870031
4.839036,-0.608741,2.399495,3.701900
4.889920,-0.386853,2.440986,3.551372
4.944276,-0.136558,2.468592,3.378743
4.990425,0.118114,2.475779,3.175140
5.040282,0.330820,2.467251,2.998068
5.094535,0.559806,2.446674,2.806689
5.140645,0.794315,2.415488,2.583087
5.192222,0.987952,2.386811,2.387587
5.248003,0.987952,2.386811,2.387587
5.293512,0.987952,2.386811,2.387587
5.343987,0.987952,2.386811,2.387587
5.394235,0.987952,2.386811,2.387587
5.445527,0.964135,2.429201,2.595332
5.496348,0.949363,2.429671,2.798560
5.551723,0.908977,2.303681,3.046008
5.597516,0.839058,2.137434,3.207399
5.648456,0.839058,2.137434,3.207399
5.703839,0.839058,2.137434,3.207399
5.750645,0.839058,2.137434,3.207399
5.800784,0.839058,2.137434,3.207399
5.851982,0.839058,2.137434,3.207399
5.902665,0.575748,2.218731,3.310177
5.953002,0.317833,2.289899,3.407720
6.011491,0.068597,2.343818,3.495594
6.055461,-0.233025,2.374251,3.613260
6.105236,-0.463862,2.367326,3.682002
6.160660,-0.736392,2.330028,3.721225
6.206263,-1.005142,2.261668,3.694004
6.256960,-1.120169,2.213107,3.656054
6.311775,-1.120169,2.213107,3.656054
6.357154,-1.120169,2.213107,3.656054
6.407298,-1.120169,2.213107,3.656054
6.457458,-1.120169,2.213107,3.656054
6.507592,-0.880891,2.268184,3.552077
6.558843,-0.650301,2.310265,3.461533
6.613472,-0.418873,2.322482,3.358500
6.658846,-0.167523,2.276870,3.210539
6.708937,0.021567,2.201974,3.066295
6.763737,0.118218,2.122121,2.907148
6.810850,0.118218,2.122121,2.907148
6.860615,0.118218,2.122121,2.907148
6.915316,0.118218,2.122121,2.907148
6.961441,0.118218,2.122121,2.907148
7.012049,-0.089975,2.206436,2.783133
7.068216,-0.317271,2.291747,2.638901
7.114143,-0.595071,2.364555,2.475710
7.165205,-0.822099,2.395933,2.333309
7.219729,-1.066345,2.394804,2.204119
7.265807,-1.280892,2.363928,2.047517
7.316813,-1.388796,2.339226,1.990859
7.371952,-1.388796,2.339226,1.990859
7.417232,-1.388796,2.339226,1.990859
7.467258,-1.388796,2.339226,1.990859
7.518032,-1.388796,2.339226,1.990859
7.567778,-1.302866,2.390834,2.219599
7.618179,-1.215265,2.424883,2.444770
7.672751,-1.090943,2.416878,2.692431
7.718331,-0.969180,2.335271,2.970539
7.769460,-0.866473,2.249591,3.179072
7.823162,-0.824765,2.241005,3.173149
7.870119,-0.824765,2.241005,3.173149
7.920172,-0.824765,2.241005,3.173149
7.974685,-0.824765,2.241005,3.173149
8.020840,-0.824765,2.241005,3.173149
8.071711,-0.931075,2.353003,3.085278
8.126483,-1.074640,2.434975,2.944608
8.172552,-1.314432,2.359667,2.732884
8.222676,-1.312418,2.346286,2.724169
8.277377,-1.312418,2.346286,2.724169
8.322730,-1.312418,2.346286,2.724169
8.373446,-1.312418,2.346286,2.724169
8.423654,-1.312418,2.346286,2.724169
8.474227,-1.130349,2.399520,2.574673
8.525133,-0.918821,2.426529,2.432524
8.579803,-0.678043,2.397985,2.271147
8.625147,-0.431842,2.281394,2.108160
8.675971,-0.241867,2.164441,1.993886
8.730935,-0.183924,2.140476,2.031748
8.777473,-0.183924,2.140476,2.031748
8.828036,-0.183924,2.140476,2.031748
8.883699,-0.183924,2.140476,2.031748
8.930136,-0.183924,2.140476,2.031748
8.980538,-0.395430,2.243896,2.008198
9.036850,-0.631924,2.333889,1.981038
9.081922,-0.949610,2.373442,1.920355
9.132856,-1.213724,2.337675,1.885353
9.188862,-1.420344,2.266200,1.857966
9.233988,-1.420344,2.266200,1.857966
9.283822,-1.420344,2.266200,1.857966
9.338801,-1.420344,2.266200,1.857966
9.384310,-1.420344,2.266200,1.857966
9.434527,-1.303306,2.316718,2.013651
9.490156,-1.164592,2.344339,2.206998
9.535625,-1.004035,2.288756,2.468263
9.586214,-0.920362,2.170844,2.665566
9.641718,-0.896083,2.103466,2.773930
9.687273,-0.896083,2.103466,2.773930
9.737284,-0.896083,2.103466,2.773930
9.793168,-0.896083,2.103466,2.773930
9.838285,-0.896083,2.103466,2.773930
9.888913,-0.677147,2.189417,2.735590
9.943658,-0.430426,2.275255,2.678564
9.990546,-0.151144,2.334832,2.617671
10.041480,0.110665,2.337198,2.541313
10.096180,0.334618,2.299506,2.481840
10.141760,0.342276,2.285110,2.490439
10.193020,0.342276,2.285110,2.490439
10.248610,0.342276,2.285110,2.490439
10.294950,0.342276,2.285110,2.490439
10.345230,0.342276,2.285110,2.490439
10.396410,0.342276,2.285110,2.490439
10.447710,0.080509,2.331974,2.578265
10.497650,-0.193937,2.371532,2.689604
10.552970,-0.466348,2.394760,2.812245
10.598440,-0.774052,2.396113,2.936658
10.648740,-1.025377,2.376750,3.040917
10.704040,-1.300253,2.330961,3.156919
10.749150,-1.613715,2.263385,3.242091
10.800170,-1.819640,2.205501,3.296980
10.855750,-1.833030,2.213342,3.292782
10.901660,-1.833030,2.213342,3.292782
10.951940,-1.833030,2.213342,3.292782
11.007440,-1.833030,2.213342,3.292782
11.053230,-1.833030,2.213342,3.292782
11.103980,-1.695314,2.328510,3.340324
11.161620,-1.479137,2.419870,3.379363
11.205160,-1.141536,2.388714,3.447818
