Timestamp,PositionX,PositionY,PositionZ
0.039154,4.990000,0.978000,4.450000
0.072662,4.990000,0.978000,4.450000
0.116913,4.990000,0.978000,4.450000
0.150421,4.990000,0.978000,4.450000
0.183807,4.990000,0.978000,4.450000
0.217163,4.990000,0.978000,4.450000
0.261536,4.990000,0.978000,4.450000
0.294861,4.990000,0.978000,4.450000
0.328186,4.990000,0.978000,4.450000
0.361603,4.990000,0.978000,4.450000
0.395203,4.990000,0.978000,4.450000
0.439240,4.990000,0.978000,4.450000
0.483398,4.990000,0.978000,4.450000
0.527893,4.990000,0.978000,4.450000
0.561798,4.990000,0.978000,4.450000
0.605927,4.990000,0.978000,4.450000
0.650360,4.990000,0.978000,4.450000
0.683838,4.990000,0.978000,4.450000
0.728210,4.990000,0.978000,4.450000
0.762451,4.990000,0.978000,4.450000
0.806061,4.990000,0.978000,4.450000
0.850250,4.990000,0.978000,4.450000
0.894592,4.990000,0.978000,4.450000
0.938965,4.990000,0.978000,4.450000
0.972321,4.990000,0.978000,4.450000
1.005707,4.990000,0.978000,4.450000
1.039703,4.990000,0.978000,4.450000
1.073120,4.990000,0.978000,4.450000
1.118103,4.990000,0.978000,4.450000
1.151886,4.990000,0.978000,4.450000
1.195160,4.990000,0.978000,4.450000
1.228607,4.990000,0.978000,4.450000
1.262390,4.990000,0.978000,4.450000
1.306610,4.990000,0.978000,4.450000
1.350342,4.990000,0.978000,4.450000
1.383667,4.990000,0.978000,4.450000
1.417084,4.990000,0.978000,4.450000
1.461273,4.990000,0.978000,4.450000
1.494873,4.990000,0.978000,4.450000
1.539246,4.990000,0.978000,4.450000
1.572723,4.990000,0.978000,4.450000
1.606079,4.990000,0.978000,4.450000
1.650513,4.990000,0.978000,4.450000
1.694641,4.990000,0.978000,4.450000
1.728210,4.990000,0.978000,4.450000
1.761719,4.990000,0.978000,4.450000
1.795349,4.990000,0.978000,4.450000
1.839386,4.990000,0.978000,4.450000
1.872742,4.990000,0.978000,4.450000
