Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
0.099670,9.170000,0.172373,3.710000,-0.966145,2.444848,1.500827
0.110781,9.170000,0.172373,3.710000,-0.960339,2.451686,1.566684
0.121892,9.170000,0.172373,3.710000,-0.954532,2.458524,1.632540
0.133003,9.170000,0.172373,3.710000,-0.948726,2.465363,1.698397
0.144115,9.170000,0.172373,3.710000,-0.942920,2.472201,1.764253
0.155226,9.170000,0.172373,3.710000,-0.937113,2.479039,1.830110
0.166337,9.170000,0.172373,3.710000,-0.931307,2.485877,1.895966
0.177448,9.170000,0.172373,3.710000,-0.925501,2.492715,1.961823
0.188559,9.170000,0.172373,3.710000,-0.919694,2.499553,2.027679
0.199624,9.170000,0.172373,3.710000,-0.913912,2.506363,2.093264
0.210781,9.170000,0.172373,3.710000,-0.907979,2.508662,2.160549
0.221892,9.170000,0.172373,3.710000,-0.902072,2.510952,2.227557
0.233003,9.170000,0.172373,3.710000,-0.896164,2.513241,2.294566
0.244115,9.170000,0.172373,3.710000,-0.890256,2.515531,2.361575
0.255226,9.170000,0.172373,3.710000,-0.884348,2.517820,2.428583
0.266337,9.170000,0.172373,3.710000,-0.878440,2.520110,2.495592
0.277448,9.170000,0.172373,3.710000,-0.872532,2.522399,2.562600
0.288559,9.170000,0.172373,3.710000,-0.866624,2.524689,2.629609
0.299670,9.170000,0.172373,3.710000,-0.860729,2.526735,2.696470
0.310781,9.170000,0.172373,3.710000,-0.855011,2.525448,2.761318
0.321892,9.170000,0.172373,3.710000,-0.849294,2.524162,2.826166
0.333003,9.170000,0.172373,3.710000,-0.843576,2.522876,2.891014
0.344115,9.170000,0.172373,3.710000,-0.837859,2.521589,2.955863
0.355226,9.170000,0.172373,3.710000,-0.832057,2.519283,3.021667
0.366337,9.170000,0.172373,3.710000,-0.826160,2.515821,3.088553
0.377448,9.170000,0.172373,3.710000,-0.820263,2.512360,3.155440
0.388559,9.170000,0.172373,3.710000,-0.814366,2.508899,3.222327
0.399670,9.170000,0.172373,3.710000,-0.808468,2.505438,3.289213
0.410781,9.170000,0.172373,3.710000,-0.802603,2.500453,3.355734
0.421892,9.170000,0.172373,3.710000,-0.796742,2.495315,3.422219
0.433003,9.170000,0.172373,3.710000,-0.790880,2.490176,3.488703
0.444115,9.170000,0.172373,3.710000,-0.785018,2.485038,3.555187
0.455226,9.170000,0.172373,3.710000,-0.780235,2.480808,3.609439
0.466337,9.170000,0.172373,3.710000,-0.777310,2.478142,3.642618
0.477448,9.170000,0.172373,3.710000,-0.774385,2.475476,3.675797
0.488559,9.170000,0.172373,3.710000,-0.771459,2.472810,3.708975
0.499670,9.170000,0.172373,3.710000,-0.768534,2.470144,3.742154
0.510781,9.170000,0.172373,3.710000,-0.765609,2.467478,3.775333
0.521892,9.170000,0.172373,3.710000,-0.762683,2.464812,3.808512
0.533003,9.170000,0.172373,3.710000,-0.759758,2.462146,3.841691
0.544115,9.170000,0.172373,3.710000,-0.756833,2.459480,3.874870
