Timestamp,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY
0.000,True,4.246,True,0.425419,0.525022,True,3.250,True,0.492491,0.561728
0.017,True,4.246,True,0.425419,0.525022,True,3.250,True,0.492491,0.561728
0.033,True,4.246,True,0.425421,0.524842,True,3.250,True,0.492682,0.561630
0.044,True,4.246,True,0.425421,0.524842,True,3.250,True,0.492682,0.561630
0.055,True,4.246,True,0.425421,0.524842,True,3.250,True,0.492682,0.561630
0.066,True,4.246,True,0.425077,0.524707,True,3.250,True,0.492682,0.561630
0.077,True,4.246,True,0.425077,0.524707,True,3.250,True,0.492851,0.562095
0.088,True,4.246,True,0.425077,0.524707,True,3.250,True,0.492851,0.562095
0.099,True,4.246,True,0.425112,0.524673,True,3.250,True,0.492851,0.562095
0.110,True,4.246,True,0.425112,0.524673,True,3.250,True,0.492999,0.562194
0.122,True,4.246,True,0.425112,0.524673,True,3.250,True,0.492999,0.562194
0.133,True,4.246,True,0.425439,0.524584,True,3.250,True,0.492999,0.562194
0.144,True,4.246,True,0.425439,0.524584,True,3.250,True,0.493676,0.562720
0.155,True,4.246,True,0.425439,0.524584,True,3.250,True,0.493676,0.562720
0.166,True,4.246,True,0.425583,0.524854,True,3.250,True,0.493676,0.562720
0.177,True,4.246,True,0.425583,0.524854,True,3.250,True,0.492412,0.562091
0.188,True,4.246,True,0.425583,0.524854,True,3.250,True,0.492412,0.562091
0.199,True,4.246,True,0.425903,0.524964,True,3.250,True,0.492412,0.562091
0.210,True,4.246,True,0.425903,0.524964,True,3.250,True,0.492280,0.562258
0.222,True,4.246,True,0.425903,0.524964,True,3.250,True,0.492280,0.562258
0.233,True,4.246,True,0.425520,0.524761,True,3.250,True,0.492280,0.562258
0.244,True,4.246,True,0.425520,0.524761,True,3.250,True,0.492355,0.562197
0.255,True,4.246,True,0.425520,0.524761,True,3.250,True,0.492355,0.562197
0.266,True,4.246,True,0.425847,0.524895,True,3.250,True,0.492355,0.562197
0.277,True,4.246,True,0.425847,0.524895,True,3.250,True,0.491211,0.563019
0.288,True,4.246,True,0.425847,0.524895,True,3.250,True,0.491211,0.563019
0.299,True,4.246,True,0.426189,0.524949,True,3.250,True,0.491211,0.563019
0.310,True,4.246,True,0.426189,0.524949,True,3.250,True,0.491406,0.562430
0.322,True,4.246,True,0.426189,0.524949,True,3.250,True,0.491406,0.562430
0.333,True,4.246,True,0.426605,0.524843,True,3.250,True,0.491406,0.562430
0.344,True,4.246,True,0.426605,0.524843,True,3.250,True,0.490906,0.561901
0.355,True,4.246,True,0.445354,0.522336,True,3.250,True,0.490906,0.561901
0.366,True,4.246,True,0.445354,0.522336,True,3.250,True,0.490906,0.561901
0.377,True,4.246,True,0.445354,0.522336,True,3.250,True,0.499196,0.548208
0.388,True,4.246,True,0.469831,0.515174,True,3.250,True,0.499196,0.548208
0.399,True,4.246,True,0.469831,0.515174,True,3.250,True,0.499196,0.548208
0.410,True,4.246,True,0.469831,0.515174,True,3.250,True,0.499196,0.548208
0.422,True,3.698,True,0.483833,0.508021,True,4.345,True,0.506530,0.534077
0.433,True,3.698,True,0.483833,0.508021,True,4.345,True,0.506530,0.534077
0.444,True,3.698,True,0.483833,0.508021,True,4.345,True,0.509902,0.525719
0.455,True,3.698,True,0.495515,0.504598,True,4.345,True,0.509902,0.525719
0.466,True,3.698,True,0.495515,0.504598,True,4.345,True,0.509902,0.525719
0.477,True,3.698,True,0.495515,0.504598,True,4.345,True,0.515194,0.522922
0.488,True,3.698,True,0.495515,0.504598,True,4.345,True,0.515194,0.522922
0.499,True,3.698,True,0.496351,0.504257,True,4.345,True,0.515194,0.522922
0.510,True,3.698,True,0.496351,0.504257,True,4.345,True,0.515194,0.522922
0.522,True,3.698,True,0.496351,0.504257,True,4.345,True,0.517134,0.522527
0.533,True,3.698,True,0.496643,0.504635,True,4.345,True,0.517134,0.522527
