Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
0.034665,4.990000,0.978000,4.450000,,,
0.045776,4.990000,0.978000,4.450000,-0.992608,2.402166,1.200683
0.056887,4.990000,0.978000,4.450000,-0.992608,2.402166,1.200683
0.067998,4.990000,0.978000,4.450000,-0.992608,2.402166,1.200683
0.079109,4.990000,0.978000,4.450000,-0.966030,2.447491,1.502139
0.090220,4.990000,0.978000,4.450000,-0.966030,2.447491,1.502139
0.101272,,,,-0.966030,2.447491,1.502139
0.112442,4.990000,0.978000,4.450000,,,
0.123554,4.990000,0.978000,4.450000,,,
0.134665,4.990000,0.978000,4.450000,,,
0.145776,4.990000,0.978000,4.450000,-0.939981,2.489147,1.797585
0.156887,4.990000,0.978000,4.450000,-0.939981,2.489147,1.797585
0.167998,4.990000,0.978000,4.450000,-0.939981,2.489147,1.797585
0.179109,4.990000,0.978000,4.450000,-0.912966,2.527157,2.103997
0.190220,4.990000,0.978000,4.450000,-0.912966,2.527157,2.103997
0.201331,4.990000,0.978000,4.450000,-0.912966,2.527157,2.103997
0.212442,4.990000,0.978000,4.450000,,,
0.223554,4.990000,0.978000,4.450000,,,
0.234665,4.990000,0.978000,4.450000,,,
0.245776,4.990000,0.978000,4.450000,-0.886007,2.557419,2.409761
0.256887,4.990000,0.978000,4.450000,-0.886007,2.557419,2.409761
0.267998,4.990000,0.978000,4.450000,-0.886007,2.557419,2.409761
0.279109,4.990000,0.978000,4.450000,-0.859774,2.577500,2.707302
0.290220,4.990000,0.978000,4.450000,-0.859774,2.577500,2.707302
0.301331,4.990000,0.978000,4.450000,-0.859774,2.577500,2.707302
0.312442,4.990000,0.978000,4.450000,,,
0.323554,4.990000,0.978000,4.450000,,,
0.334665,4.990000,0.978000,4.450000,,,
0.345776,4.990000,0.978000,4.450000,-0.833274,2.587074,3.007864
0.356887,4.990000,0.978000,4.450000,-0.833274,2.587074,3.007864
0.367998,4.990000,0.978000,4.450000,-0.833274,2.587074,3.007864
0.379109,4.990000,0.978000,4.450000,-0.806252,2.584871,3.314358
0.390220,4.990000,0.978000,4.450000,-0.806252,2.584871,3.314358
0.401331,4.990000,0.978000,4.450000,-0.806252,2.584871,3.314358
0.412442,4.990000,0.978000,4.450000,,,
0.423554,4.990000,0.978000,4.450000,,,
0.434665,4.990000,0.978000,4.450000,,,
0.445776,4.990000,0.978000,4.450000,-0.779585,2.570744,3.616809
0.456887,4.990000,0.978000,4.450000,-0.779585,2.570744,3.616809
0.467998,4.990000,0.978000,4.450000,-0.779585,2.570744,3.616809
0.479109,4.990000,0.978000,4.450000,-0.779585,2.570744,3.616809
0.490220,4.990000,0.978000,4.450000,-0.752114,2.544150,3.913070
0.501331,4.990000,0.978000,4.450000,-0.752114,2.544150,3.913070
0.512442,4.990000,0.978000,4.450000,-0.752114,2.544150,3.913070
0.523554,4.990000,0.978000,4.450000,,,
0.534665,4.990000,0.978000,4.450000,,,
0.545776,4.990000,0.978000,4.450000,,,
0.556887,4.990000,0.978000,4.450000,-0.719270,2.499054,4.187017
0.567998,4.990000,0.978000,4.450000,-0.719270,2.499054,4.187017
0.579109,4.990000,0.978000,4.450000,-0.719270,2.499054,4.187017
0.590220,4.990000,0.978000,4.450000,-0.685609,2.442092,4.515269
0.601332,4.990000,0.978000,4.450000,-0.685609,2.442092,4.515269
0.612443,4.990000,0.978000,4.450000,-0.685609,2.442092,4.515269
0.623554,4.990000,0.978000,4.450000,,,
0.634665,4.990000,0.978000,4.450000,,,
0.645776,4.990000,0.978000,4.450000,,,
0.656887,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.667998,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.679110,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.690221,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.701332,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.712443,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.723554,4.990000,0.978000,4.450000,,,
0.734665,4.990000,0.978000,4.450000,,,
0.745776,4.990000,0.978000,4.450000,,,
0.756888,4.990000,0.978000,4.450000,,,
0.767999,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.779110,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.790221,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.801332,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.812443,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.823554,4.990000,0.978000,4.450000,-0.662372,2.398644,4.749151
0.834666,4.990000,0.978000,4.450000,,,
0.845777,4.990000,0.978000,4.450000,,,
0.856888,4.990000,0.978000,4.450000,,,
0.867999,4.990000,0.978000,4.450000,-0.673107,2.416074,4.639821
0.879110,4.990000,0.978000,4.450000,-0.673107,2.416074,4.639821
