Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.692076,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.711549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.890298,2.535173,2.337151,,,
0.725976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.727573,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.759785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.762924,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,-0.904478,2.551400,2.133344,,,
0.794037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.797520,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.814043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.917828,2.535973,1.930376,,,
0.827523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.832451,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.862108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.865407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.924922,2.515874,1.820543,,,
0.867500,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.895674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.902801,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.916654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.924922,2.515874,1.820543,,,
0.929089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.936911,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.963551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
0.968987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.924922,2.515874,1.820543,,,
0.971215,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
0.998130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.007839,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.020056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.924922,2.515874,1.820543,,,
1.032010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.043071,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.066119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.071499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.816656,2.536767,1.790486,,,
1.078074,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.100911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.112890,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.121593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.625838,2.566000,1.736819,,,
1.135290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.147975,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.169618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.171627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.434137,2.573702,1.680977,,,
1.182960,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.204041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.216473,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.223111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.238241,2.549181,1.621948,,,
1.238057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.251212,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.272175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.275194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.046342,2.494505,1.563597,,,
1.286227,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.306301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000
1.320301,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.990000,0.978000,4.450000,,,,,,
1.326718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038427,2.491699,1.561188,,,
