Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
0.034370,4.990000,0.978000,4.450000,,,
0.045481,4.990000,0.978000,4.450000,-0.991847,2.403484,1.209317
0.056592,4.990000,0.978000,4.450000,-0.991847,2.403484,1.209317
0.067704,4.990000,0.978000,4.450000,-0.991847,2.403484,1.209317
0.078815,4.990000,0.978000,4.450000,-0.965077,2.449034,1.512940
0.089926,4.990000,0.978000,4.450000,-0.965077,2.449034,1.512940
0.101037,4.990000,0.978000,4.450000,-0.965077,2.449034,1.512940
0.112148,4.990000,0.978000,4.450000,-0.965077,2.449034,1.512940
0.123259,4.990000,0.978000,4.450000,-0.965077,2.449034,1.512940
0.134370,4.990000,0.978000,4.450000,-0.965077,2.449034,1.512940
0.145481,4.990000,0.978000,4.450000,-0.938330,2.491441,1.816310
0.156592,4.990000,0.978000,4.450000,-0.938330,2.491441,1.816310
0.167704,4.990000,0.978000,4.450000,-0.938330,2.491441,1.816310
0.178815,4.990000,0.978000,4.450000,-0.911775,2.528231,2.117501
0.189926,4.990000,0.978000,4.450000,-0.911775,2.528231,2.117501
0.201037,4.990000,0.978000,4.450000,-0.911775,2.528231,2.117501
0.212148,4.990000,0.978000,4.450000,,,
0.223259,4.990000,0.978000,4.450000,,,
0.234370,4.990000,0.978000,4.450000,,,
0.245481,4.990000,0.978000,4.450000,-0.884722,2.557894,2.424343
0.256496,,,,-0.884722,2.557894,2.424343
0.267704,4.990000,0.978000,4.450000,-0.884722,2.557894,2.424343
0.278815,4.990000,0.978000,4.450000,-0.857691,2.577662,2.730933
0.289926,4.990000,0.978000,4.450000,-0.857691,2.577662,2.730933
0.301037,4.990000,0.978000,4.450000,-0.857691,2.577662,2.730933
0.312148,4.990000,0.978000,4.450000,,,
0.323259,4.990000,0.978000,4.450000,,,
0.334370,4.990000,0.978000,4.450000,,,
0.345481,4.990000,0.978000,4.450000,-0.830563,2.586102,3.038621
0.356592,4.990000,0.978000,4.450000,-0.830563,2.586102,3.038621
0.367704,4.990000,0.978000,4.450000,-0.830563,2.586102,3.038621
0.378815,4.990000,0.978000,4.450000,-0.803268,2.582421,3.348203
0.389926,4.990000,0.978000,4.450000,-0.803268,2.582421,3.348203
0.401037,4.990000,0.978000,4.450000,-0.803268,2.582421,3.348203
0.412148,4.990000,0.978000,4.450000,-0.803268,2.582421,3.348203
0.423259,4.990000,0.978000,4.450000,-0.803268,2.582421,3.348203
0.434370,4.990000,0.978000,4.450000,-0.803268,2.582421,3.348203
