Timestamp,HumanMPositionX,HumanMPositionY,HumanMPositionZ,BallPositionX,BallPositionY,BallPositionZ
0.000000,,,,-1.020000,2.353000,0.890000
0.044504,9.170000,0.172373,3.710000,-0.989780,2.407351,1.232754
0.094797,9.170000,0.172373,3.710000,-0.966575,2.445929,1.495955
0.143823,9.170000,0.172373,3.710000,-0.940301,2.485481,1.793954
0.194433,9.170000,0.172373,3.710000,-0.914625,2.517993,2.085177
0.243970,9.170000,0.172373,3.710000,-0.888047,2.543161,2.386626
0.294394,9.170000,0.172373,3.710000,-0.861977,2.558261,2.682313
0.345133,9.170000,0.172373,3.710000,-0.835409,2.562952,2.983654
0.397041,9.170000,0.172373,3.710000,-0.808677,2.556736,3.286847
0.446325,9.170000,0.172373,3.710000,-0.781365,2.539558,3.596619
0.496516,9.170000,0.172373,3.710000,-0.755488,2.514476,3.890122
0.546953,9.170000,0.172373,3.710000,-0.729200,2.481349,4.188280
0.597266,9.170000,0.172373,3.710000,-0.694329,2.431477,4.484725
0.646962,9.170000,0.172373,3.710000,-0.694329,2.431477,4.484725
0.696801,9.170000,0.172373,3.710000,-0.694329,2.431477,4.484725
0.746987,9.170000,0.172373,3.710000,-0.694329,2.431477,4.484725
0.797742,9.170000,0.172373,3.710000,-0.694329,2.431477,4.484725
0.847221,9.170000,0.172373,3.710000,-0.727490,2.477612,4.194143
0.897110,9.170000,0.172373,3.710000,-0.754222,2.520370,3.901586
0.947478,9.170000,0.172373,3.710000,-0.764235,2.558468,3.604852
0.998256,9.170000,0.172373,3.710000,-0.749911,2.586418,3.304282
1.048241,9.170000,0.172373,3.710000,-0.719617,2.599036,3.001385
1.097669,9.170000,0.172373,3.710000,-0.685812,2.592435,2.703459
1.148015,9.170000,0.172373,3.710000,-0.659911,2.550381,2.411036
1.198751,9.170000,0.172373,3.710000,-0.616752,2.481695,2.120053
1.248152,9.170000,0.172373,3.710000,-0.539828,2.391362,1.839713
1.298127,9.170000,0.172373,3.710000,-0.455867,2.283000,1.576913
1.348191,9.170000,0.172373,3.710000,-0.353251,2.146098,1.398889
1.399014,9.170000,0.172373,3.710000,-0.353251,2.146098,1.398889
1.448486,9.170000,0.172373,3.710000,-0.353251,2.146098,1.398889
1.498528,9.170000,0.172373,3.710000,-0.353251,2.146098,1.398889
1.548744,9.170000,0.172373,3.710000,-0.353251,2.146098,1.398889
1.599435,9.170000,0.172373,3.710000,-0.133943,2.246427,1.439032
1.648772,9.170000,0.172373,3.710000,0.111387,2.328110,1.479810
