Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW
0.000,True,-0.006739,1.053779,0.028330,0.065176,-0.002255,-0.015773,-0.997747,True,0.057411,1.055927,0.023948,0.044759,-0.023787,-0.013860,-0.998618
0.014,True,-0.006732,1.053758,0.028324,0.065244,-0.002224,-0.015766,-0.997742,True,0.057418,1.055905,0.023945,0.044815,-0.023751,-0.013852,-0.998617
0.031,True,-0.006741,1.053762,0.028197,0.065238,-0.001949,-0.015664,-0.997745,True,0.057411,1.055896,0.023835,0.044432,-0.023186,-0.013768,-0.998648
0.042,True,-0.006737,1.053805,0.028171,0.065175,-0.001908,-0.015559,-0.997751,True,0.057416,1.055926,0.023814,0.044355,-0.023137,-0.013665,-0.998654
0.053,True,-0.006762,1.053822,0.028062,0.065552,-0.001837,-0.015430,-0.997728,True,0.057391,1.055924,0.023703,0.044382,-0.023156,-0.013522,-0.998655
0.064,True,-0.006748,1.053851,0.028044,0.065569,-0.001808,-0.015351,-0.997728,True,0.057406,1.055943,0.023689,0.044449,-0.022814,-0.013466,-0.998660
0.075,True,-0.006729,1.053884,0.028025,0.065673,-0.001804,-0.015532,-0.997719,True,0.057424,1.055998,0.023668,0.044545,-0.022806,-0.013646,-0.998654
0.086,True,-0.006719,1.053936,0.027932,0.065998,-0.001593,-0.015633,-0.997696,True,0.057433,1.056060,0.023574,0.044699,-0.022810,-0.013725,-0.998646
0.097,True,-0.006693,1.054009,0.027905,0.066231,-0.001570,-0.015433,-0.997684,True,0.057460,1.056105,0.023550,0.044915,-0.022774,-0.013521,-0.998640
0.109,True,-0.006668,1.054087,0.027915,0.066349,-0.001698,-0.015204,-0.997679,True,0.057486,1.056152,0.023545,0.044919,-0.022376,-0.013323,-0.998651
0.119,True,-0.006631,1.054129,0.027809,0.066449,-0.002118,-0.015078,-0.997674,True,0.057522,1.056177,0.023418,0.045003,-0.022543,-0.013210,-0.998645
0.130,True,-0.006574,1.054156,0.027803,0.066588,-0.002282,-0.015112,-0.997664,True,0.057577,1.056206,0.023389,0.045127,-0.022699,-0.013238,-0.998636
0.142,True,-0.006536,1.054179,0.027807,0.066679,-0.002401,-0.015176,-0.997656,True,0.057614,1.056236,0.023378,0.045386,-0.022391,-0.013332,-0.998630
0.153,True,-0.006495,1.054184,0.027709,0.067100,-0.002438,-0.015295,-0.997626,True,0.057653,1.056252,0.023258,0.045490,-0.022543,-0.013432,-0.998620
0.164,True,-0.006433,1.054226,0.027706,0.067191,-0.002494,-0.015292,-0.997620,True,0.057715,1.056292,0.023248,0.045563,-0.022589,-0.013425,-0.998616
0.176,True,-0.006379,1.054256,0.027723,0.067358,-0.002640,-0.015312,-0.997608,True,0.057767,1.056323,0.023246,0.045770,-0.022131,-0.013485,-0.998616
0.186,True,-0.006332,1.054272,0.027629,0.067468,-0.002750,-0.015297,-0.997600,True,0.057813,1.056333,0.023131,0.045862,-0.022277,-0.013462,-0.998609
0.197,True,-0.006286,1.054302,0.027667,0.067540,-0.002856,-0.015236,-0.997596,True,0.057858,1.056355,0.023156,0.045922,-0.022376,-0.013397,-0.998605
0.208,True,-0.006234,1.054336,0.027700,0.067681,-0.002911,-0.015112,-0.997588,True,0.057911,1.056370,0.023183,0.046270,-0.022458,-0.013271,-0.998588
0.220,True,-0.006203,1.054336,0.027610,0.067766,-0.002925,-0.015061,-0.997583,True,0.057942,1.056363,0.023090,0.046346,-0.022467,-0.013218,-0.998585
0.231,True,-0.006180,1.054347,0.027650,0.067773,-0.003157,-0.014906,-0.997585,True,0.057965,1.056355,0.023127,0.046412,-0.022485,-0.013078,-0.998584
0.242,True,-0.006158,1.054361,0.027693,0.067559,-0.003079,-0.014715,-0.997602,True,0.057989,1.056347,0.023182,0.046697,-0.022680,-0.012881,-0.998569
0.253,True,-0.006134,1.054310,0.027652,0.067515,-0.003036,-0.014593,-0.997607,True,0.058014,1.056281,0.023148,0.046678,-0.022622,-0.012762,-0.998572
