Timestamp,LeftGazeValid,LeftGazePosX,LeftGazePosY,LeftGazePosZ,LeftGazeRotX,LeftGazeRotY,LeftGazeRotZ,LeftGazeRotW,RightGazeValid,RightGazePosX,RightGazePosY,RightGazePosZ,RightGazeRotX,RightGazeRotY,RightGazeRotZ,RightGazeRotW,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY,AnchorIndex,HMDIsValid,HMDCoordinateSystem,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDEulerX,HMDEulerY,HMDEulerZ,BallPositionX,BallPositionY,BallPositionZ,Ball2PositionX,Ball2PositionY,Ball2PositionZ,CubeHumanPositionX,CubeHumanPositionY,CubeHumanPositionZ
0.000000,True,-0.031930,1.111954,0.001501,0.054891,-0.010924,0.018759,-0.998256,True,0.035548,1.106919,0.004516,0.055160,0.005177,0.017121,-0.998317,True,3.523,True,0.502370,0.525942,True,3.460,True,0.527364,0.501570,0,True,Device,0.001880,1.112353,-0.009446,-0.101356,-0.009132,-0.017080,0.994662,348.349400,359.139700,358.120300,,,,,,,0.000000,0.000000,0.000000
0.013775,True,-0.031333,1.112638,0.001717,0.054834,-0.011127,0.018906,-0.998255,True,0.035568,1.106844,0.004588,0.055104,0.004974,0.017274,-0.998319,True,3.579,True,0.502285,0.526004,True,3.465,True,0.527292,0.501539,,True,Device,0.001900,1.112295,-0.009370,-0.101056,-0.009086,-0.017213,0.994690,348.384000,359.146100,358.104100,,,,,,,,,
0.031570,True,-0.031303,1.112548,0.001893,0.054395,-0.011277,0.019274,-0.998270,True,0.035594,1.106701,0.004745,0.054672,0.004825,0.017650,-0.998337,True,3.579,True,0.502151,0.526242,True,3.458,True,0.527292,0.501539,,True,Device,0.001928,1.112192,-0.009200,-0.100548,-0.008947,-0.017582,0.994737,348.442500,359.165800,358.059200,,,,,,,,,
0.042545,True,-0.031303,1.112497,0.001929,0.054133,-0.011106,0.019555,-0.998281,True,0.035590,1.106605,0.004765,0.054414,0.004996,0.017936,-0.998345,True,3.589,True,0.502331,0.526207,True,3.461,True,0.527373,0.501713,,True,Device,0.001926,1.112126,-0.009170,-0.100236,-0.008819,-0.017893,0.994764,348.478300,359.183800,358.021500,,,,,,,,,
0.053761,True,-0.031299,1.112461,0.002038,0.054388,-0.010951,0.019772,-0.998264,True,0.035591,1.106537,0.004879,0.054674,0.005153,0.018156,-0.998326,True,3.599,True,0.501759,0.526127,True,3.487,True,0.527601,0.501661,,True,Device,0.001931,1.112079,-0.009058,-0.100044,-0.008847,-0.018123,0.994779,348.500200,359.182800,357.994800,,,,,,,,,
0.064793,True,-0.031312,1.112428,0.002125,0.054291,-0.011006,0.019983,-0.998265,True,0.035577,1.106474,0.004955,0.054580,0.005098,0.018371,-0.998327,True,3.599,True,0.501759,0.526127,True,3.491,True,0.527408,0.501737,,True,Device,0.001917,1.112037,-0.008976,-0.099805,-0.008758,-0.018337,0.994799,348.527700,359.195300,357.968800,,,,,,,,,
0.075844,True,-0.031327,1.112354,0.002215,0.054127,-0.010964,0.020085,-0.998272,True,0.035560,1.106384,0.005046,0.054418,0.005141,0.018478,-0.998334,True,3.584,True,0.501726,0.525996,True,3.496,True,0.527408,0.501737,,True,Device,0.001902,1.111962,-0.008883,-0.099535,-0.008776,-0.018447,0.994824,348.558700,359.193900,357.956100,,,,,,,,,
0.087097,True,-0.031336,1.112307,0.002276,0.054073,-0.010807,0.020090,-0.998276,True,0.035550,1.106336,0.005118,0.054365,0.005299,0.018486,-0.998336,True,3.570,True,0.501726,0.525996,True,3.495,True,0.527285,0.501838,,True,Device,0.001895,1.111921,-0.008816,-0.099303,-0.008875,-0.018465,0.994846,348.585200,359.182200,357.955100,,,,,,,,,
0.098103,True,-0.031361,1.112256,0.002345,0.053996,-0.010605,0.020044,-0.998284,True,0.035526,1.106288,0.005194,0.054288,0.005502,0.018443,-0.998340,True,3.561,True,0.501872,0.526257,True,3.482,True,0.527113,0.502214,,True,Device,0.001872,1.111875,-0.008743,-0.099126,-0.008939,-0.018439,0.994864,348.605500,359.174100,357.958700,,,,,,,,,
0.109196,True,-0.031378,1.112198,0.002385,0.053767,-0.010622,0.020012,-0.998296,True,0.035508,1.106234,0.005236,0.054058,0.005485,0.018412,-0.998353,True,3.546,True,0.501522,0.526334,True,3.464,True,0.527286,0.502230,,True,Device,0.001855,1.111821,-0.008701,-0.099056,-0.008964,-0.018407,0.994871,348.613600,359.170700,357.962800,,,,,,,,,
0.120289,True,-0.031404,1.112211,0.002441,0.053757,-0.010687,0.020038,-0.998296,True,0.035482,1.106245,0.005299,0.054048,0.005420,0.018439,-0.998353,True,3.537,True,0.501525,0.526210,True,3.458,True,0.527286,0.502230,,True,Device,0.001831,1.111835,-0.008641,-0.098973,-0.009018,-0.018424,0.994879,348.622900,359.164400,357.961400,,,,,,,,,
0.132435,True,-0.031436,1.112203,0.002509,0.054003,-0.010622,0.019878,-0.998286,True,0.035452,1.106258,0.005364,0.054292,0.005486,0.018280,-0.998343,True,3.527,True,0.501525,0.526210,True,3.428,True,0.526923,0.502212,,True,Device,0.001798,1.111839,-0.008575,-0.098948,-0.009016,-0.018270,0.994884,348.626000,359.162800,357.979200,,,,,,,,,
0.142540,True,-0.031451,1.112137,0.002554,0.054158,-0.010753,0.019742,-0.998279,True,0.035438,1.106213,0.005409,0.054444,0.005355,0.018141,-0.998338,True,3.515,True,0.501902,0.526414,True,3.419,True,0.526923,0.502212,,True,Device,0.001783,1.111779,-0.008530,-0.099069,-0.009019,-0.018118,0.994875,348.612200,359.160900,357.997000,,,,,,,,,
0.153774,True,-0.031466,1.112077,0.002639,0.054234,-0.010977,0.019536,-0.998277,True,0.035426,1.106183,0.005488,0.054516,0.005130,0.017935,-0.998339,True,3.505,True,0.501902,0.526414,True,3.426,True,0.527347,0.502536,,True,Device,0.001767,1.111733,-0.008448,-0.099126,-0.008992,-0.017891,0.994873,348.605800,359.161500,358.023200,,,,,,,,,
0.164787,True,-0.031454,1.112128,0.002698,0.054527,-0.011215,0.019430,-0.998260,True,0.035440,1.106252,0.005547,0.054807,0.004892,0.017826,-0.998326,True,3.503,True,0.501365,0.526512,True,3.416,True,0.527457,0.502416,,True,Device,0.001779,1.111788,-0.008390,-0.099336,-0.008989,-0.017757,0.994855,348.581800,359.160700,358.038800,,,,,,,,,
0.175919,True,-0.031451,1.112204,0.002755,0.054846,-0.011039,0.019533,-0.998243,True,0.035442,1.106313,0.005605,0.055128,0.005069,0.017926,-0.998306,True,3.491,True,0.501988,0.526543,True,3.413,True,0.527436,0.502653,,True,Device,0.001782,1.111854,-0.008333,-0.099454,-0.008981,-0.017873,0.994841,348.568100,359.163200,358.025300,,,,,,,,,
0.186955,True,-0.031457,1.112294,0.002828,0.055131,-0.011275,0.019834,-0.998219,True,0.035433,1.106366,0.005668,0.055418,0.004831,0.018222,-0.998285,True,3.483,True,0.501988,0.526543,True,3.417,True,0.527436,0.502653,,True,Device,0.001773,1.111917,-0.008267,-0.099789,-0.008851,-0.018150,0.994804,348.529500,359.182200,357.991600,,,,,,,,,
0.198154,True,-0.031466,1.112427,0.002908,0.055362,-0.011407,0.020317,-0.998195,True,0.035418,1.106435,0.005739,0.055657,0.004699,0.018703,-0.998264,True,3.476,True,0.501711,0.526445,True,3.420,True,0.527436,0.502653,,True,Device,0.001762,1.112015,-0.008192,-0.099901,-0.008730,-0.018621,0.994785,348.516500,359.202000,357.935500,,,,,,,,,
0.209183,True,-0.031461,1.112500,0.002940,0.055537,-0.011791,0.020598,-0.998175,True,0.035421,1.106475,0.005758,0.055835,0.004314,0.018982,-0.998250,True,3.468,True,0.501523,0.526895,True,3.373,True,0.527068,0.502585,,True,Device,0.001764,1.112068,-0.008168,-0.100073,-0.008594,-0.018868,0.994764,348.496800,359.221000,357.905300,,,,,,,,,
0.220390,True,-0.031454,1.112614,0.003022,0.055573,-0.012453,0.020878,-0.998159,True,0.035426,1.106554,0.005802,0.055875,0.003651,0.019260,-0.998245,True,3.463,True,0.501523,0.526895,True,3.363,True,0.527205,0.502361,,True,Device,0.001764,1.112161,-0.008105,-0.100224,-0.008283,-0.019095,0.994747,348.479900,359.260300,357.875200,,,,,,,,,
0.231396,True,-0.031427,1.112651,0.003082,0.055604,-0.012657,0.020717,-0.998158,True,0.035457,1.106612,0.005835,0.055903,0.003447,0.019098,-0.998248,True,3.463,True,0.501523,0.526895,True,3.363,True,0.527205,0.502361,,True,Device,0.001787,1.112208,-0.008059,-0.100251,-0.008086,-0.018924,0.994749,348.477400,359.281200,357.892800,,,,,,,,,
0.242485,True,-0.031391,1.112604,0.003108,0.055866,-0.012770,0.020374,-0.998149,True,0.035498,1.106609,0.005834,0.056160,0.003335,0.018753,-0.998240,True,3.459,True,0.501399,0.527128,True,3.356,True,0.527798,0.502455,,True,Device,0.001819,1.112180,-0.008047,-0.100356,-0.007913,-0.018578,0.994747,348.465900,359.297400,357.931100,,,,,,,,,
0.253773,True,-0.031371,1.112582,0.003152,0.055882,-0.012903,0.020205,-0.998150,True,0.035520,1.106608,0.005859,0.056173,0.003202,0.018584,-0.998243,True,3.458,True,0.501399,0.527128,True,3.361,True,0.527798,0.502455,,True,Device,0.001835,1.112168,-0.008012,-0.100368,-0.007787,-0.018403,0.994750,348.464900,359.310000,357.950000,,,,,,,,,
0.264816,True,-0.031354,1.112565,0.003187,0.055778,-0.013020,0.020246,-0.998153,True,0.035537,1.106585,0.005879,0.056070,0.003085,0.018626,-0.998248,True,3.443,True,0.501750,0.526743,True,3.363,True,0.527798,0.502455,,True,Device,0.001850,1.112149,-0.007984,-0.100310,-0.007677,-0.018440,0.994756,348.471700,359.323200,357.944400,,,,,,,,,
0.275963,True,-0.031379,1.112469,0.003175,0.055525,-0.012923,0.020326,-0.998167,True,0.035512,1.106473,0.005844,0.055818,0.003181,0.018706,-0.998261,True,3.432,True,0.501868,0.526726,True,3.336,True,0.527361,0.502444,,True,Device,0.001821,1.112045,-0.008008,-0.100329,-0.007497,-0.018541,0.994753,348.469900,359.345300,357.930500,,,,,,,,,
0.287003,True,-0.031352,1.112440,0.003213,0.055440,-0.013126,0.020550,-0.998164,True,0.035537,1.106415,0.005873,0.055737,0.002979,0.018932,-0.998262,True,3.435,True,0.501868,0.526726,True,3.314,True,0.526968,0.502407,,True,Device,0.001847,1.112005,-0.007973,-0.100190,-0.007416,-0.018751,0.994764,348.486000,359.356900,357.905100,,,,,,,,,
0.298409,True,-0.031343,1.112404,0.003246,0.055436,-0.013492,0.020668,-0.998157,True,0.035546,1.106362,0.005874,0.055734,0.002612,0.019051,-0.998261,True,3.420,True,0.501868,0.526726,True,3.296,True,0.526968,0.502407,,True,Device,0.001851,1.111962,-0.007956,-0.100134,-0.007170,-0.018846,0.994770,348.492800,359.386600,357.891100,,,,,,,,,
