Timestamp,LeftDiameterValid,LeftPupilDiameter,LeftPositionValid,LeftPupilPosX,LeftPupilPosY,RightDiameterValid,RightPupilDiameter,RightPositionValid,RightPupilPosX,RightPupilPosY
0.000,True,4.000,True,0.437334,0.450409,True,4.000,True,0.495218,0.509364
0.015,True,4.000,True,0.436999,0.450107,True,4.000,True,0.495218,0.509364
0.026,True,4.000,True,0.436999,0.450107,True,4.000,True,0.494620,0.509438
0.037,True,4.000,True,0.437014,0.450213,True,4.000,True,0.494620,0.509438
0.049,True,4.000,True,0.437014,0.450213,True,4.000,True,0.494620,0.509438
0.060,True,4.000,True,0.437014,0.450213,True,4.000,True,0.494197,0.509268
0.071,True,4.000,True,0.436520,0.450232,True,4.000,True,0.494197,0.509268
0.083,True,4.000,True,0.436520,0.450232,True,4.000,True,0.494197,0.509268
0.093,True,4.000,True,0.436520,0.450232,True,4.000,True,0.493729,0.509331
0.104,True,4.000,True,0.436520,0.450232,True,4.000,True,0.493729,0.509331
0.115,True,4.000,True,0.436120,0.450017,True,4.000,True,0.493729,0.509331
0.127,True,4.000,True,0.436120,0.450017,True,4.000,True,0.493565,0.509209
0.137,True,4.000,True,0.436120,0.450017,True,4.000,True,0.493565,0.509209
0.148,True,4.000,True,0.435921,0.449898,True,4.000,True,0.493565,0.509209
0.160,True,4.000,True,0.435921,0.449898,True,4.000,True,0.493532,0.509292
0.171,True,4.000,True,0.435921,0.449898,True,4.000,True,0.493532,0.509292
0.182,True,4.000,True,0.435870,0.450141,True,4.000,True,0.493532,0.509292
0.193,True,4.000,True,0.435870,0.450141,True,4.000,True,0.493578,0.509261
0.204,True,4.000,True,0.435870,0.450141,True,4.000,True,0.493578,0.509261
0.215,True,4.000,True,0.435947,0.450416,True,4.000,True,0.493578,0.509261
0.226,True,4.000,True,0.435947,0.450416,True,4.000,True,0.493578,0.509261
0.237,True,4.000,True,0.435947,0.450416,True,4.000,True,0.493801,0.509238
0.248,True,4.000,True,0.436226,0.450852,True,4.000,True,0.493801,0.509238
0.260,True,4.000,True,0.436226,0.450852,True,4.000,True,0.494231,0.509417
0.271,True,4.000,True,0.436226,0.450852,True,4.000,True,0.494231,0.509417
0.282,True,4.000,True,0.436189,0.451239,True,4.000,True,0.494231,0.509417
0.293,True,4.000,True,0.436189,0.451239,True,4.000,True,0.494447,0.509240
0.304,True,4.000,True,0.436189,0.451239,True,4.000,True,0.494447,0.509240
0.315,True,4.000,True,0.436501,0.451532,True,4.000,True,0.494447,0.509240
